"smis_reference","event_date","period","place","report_title","description","injury_degree_2013","fwi_2013"
SMIS4314105,2021-10-27 14:00:00.000,202108,Crown Point LMD (Norwich),Personal accident form,Stadler contractor cut finger,Non-severe,0.001
SMIS4314293,2021-10-27 17:45:00.000,202108,Haymarket LMD (Edinburgh),Personal accident form,Employee cuts thumb on broken cup handle,Non-severe,0.001
SMIS4314178,2021-10-28 11:30:00.000,202108,Clacton LMD,Personal accident form,Technician STF in depot,Non-severe,0.001
SMIS4314307,2021-10-28 14:22:00.000,202108,Didcot Tmd,Personal accident form,Belated personal injury reported by a mobile fitter working at Didcot.,Severe 7,0.01
SMIS4314296,2021-10-28 14:44:00.000,202108,Penzance (Long Rock) LMD,Personal accident form,Security Guard received an Electric Shock at Long Rock Depot,Shock/Trauma,0.001
SMIS4314138,2021-10-28 17:30:00.000,202108,Rugby Sidings,Personal accident form,PA - Bletchley DU Staff Accident  - Technician sustained a bruise/friction burn to their shin due to falling at Rugby. IRIS 16423.,Non-severe,0.001
SMIS4314328,2021-10-29 11:30:00.000,202108,Neville Hill LMD (Ns) Northern Rail,Personal accident form,Member of staff sustained injury,Non-severe,0.001
SMIS4314359,2021-10-29 11:31:00.000,202108,Birkenhead Central LMD,Personal accident form,Employee Accident at Birkenhead Central Depot 29/10/21,Non-severe,0.001
SMIS4314534,2021-10-31 00:30:00.000,202108,Colchester LMD,Personal accident form,Contractor cleaner suffered eye irritation,Non-severe,0.001
SMIS4315369,2021-10-31 01:15:00.000,202108,Salisbury LMD,Personal accident form,"Staff 16639 31/10/2021 Salisbury Sidings: Driver aggravated existing injury when alighting unit via train steps at ECHS, causing pain in abdominal area",Non-severe,0.001
SMIS4314238,2021-10-31 02:15:00.000,202108,Freightliner Birmingham,Personal accident form,"DB Cargo Maintenance fitter working as an auto-ballaster operator on 6G55 23:38 Bescot - Birmingham International reports that he slipped off the bottom step whilst alighting HQA wagon 380016, and fell backwards banging the top of his head.",Non-severe,0.001
SMIS4314416,2021-10-31 12:30:00.000,202108,Heaton LMD,Personal accident form,Cleaner sustained injury to thumb,Non-severe,0.001
SMIS4314354,2021-10-31 18:15:00.000,202108,Aylesbury LMD,Personal accident form,"14295/21 – Staff Member was struck by firework at Aylesbury Depot",Shock/Trauma,0.001
SMIS4314234,2021-11-01 03:15:00.000,202108,Orient Way,Personal accident form,CONTRACTOR cleaner struck head whilst boarding cab,Non-severe,0.001
SMIS4314461,2021-11-02 12:00:00.000,202108,Tees Yard,Personal accident form,PA-CD Contractor injured right hand whilst assisting a colleague drilling at Tees Viaduct. SCO ref 49600. IRIS ref 16913.,Non-severe,0.001
SMIS4314538,2021-11-03 12:20:00.000,202108,Inverness LMD,Personal accident form,Staff member burned by swarf,Non-severe,0.001
SMIS4314755,2021-11-04 01:00:00.000,202108,Ipswich MDU,Personal accident form,Contractor cleaner cut finger on needle,Non-severe,0.001
SMIS4314652,2021-11-05 00:00:00.000,202108,Wimbledon LMD (London),Personal accident form,Staff Accident - 05/11/2021 - Wimbledon Traincare Depot: A Depot driver Depot pulled a muscle in their right shoulder whilst climbing onboard unit 6019 C/E cab at Wimbledon Traincare Depot,Non-severe,0.001
SMIS4314825,2021-11-05 10:00:00.000,202108,Rugby Sidings,Personal accident form,PA - Route Services Staff member suffered crush injury to thumb in gate at Rugby Coal Sidings Yard. IRIS 16537,Non-severe,0.001
SMIS4315794,2021-11-05 19:36:00.000,202108,Crofton,Personal accident form,"05/11/21 5D73 Driver Fall at Crofton Headshunt",Severe 7,0.01
SMIS4314760,2021-11-05 23:30:00.000,202108,Ramsgate Train Maintenance Depot,Personal accident form,"Engineering staff standing on yellow hop up in 23 Road, Ramsgate, fell against pit wall",Non-severe,0.001
SMIS4315872,2021-11-07 00:00:00.000,202108,Woking Down Yard,Personal accident form,PA - Contractor Accident - Regional Vital Services - A member of staff injured her ankle after she tripped over her feet at Woking Depot.,Severe 7,0.01
SMIS4314698,2021-11-07 00:00:00.000,202108,Salisbury LMD,Personal accident form,Staff Accident -07/11/2021 -Ergonomic Manual Handling: A member of train maintenance staff strained their back whilst removing the A shaft on 9rd at Salisbury Depot.,Non-severe,0.001
SMIS4314739,2021-11-08 08:30:00.000,202108,Bletchley James Way MDU,Personal accident form,PA - Bletchley DU Team Leader suffered minor elbow and chest injury due to fall over traffic cone at Bletchley Depot. IRIS 16689.,Non-severe,0.001
SMIS4314982,2021-11-08 21:15:00.000,202108,Corkerhill CSMD,Personal accident form,staff member received a laceration on his hand whilst carrying out tanking duties,Non-severe,0.001
SMIS4314984,2021-11-08 23:00:00.000,202108,Haymarket LMD (Edinburgh),Personal accident form,Staff member working on Power Car 43124 hurt his left hand when tooling he was using slipped,Non-severe,0.001
SMIS4314851,2021-11-09 10:15:00.000,202108,Newton Heath LMD (Manchester),Personal accident form,fitter sustained injury while on duty,Non-severe,0.001
SMIS4314859,2021-11-10 03:38:00.000,202108,Plymouth (Laira) Diesel LMD,Personal accident form,FO3 Technician sustained a minor injury at Laira Depot,Non-severe,0.001
SMIS4314899,2021-11-10 10:10:00.000,202108,Clapham Junction LMD (London),Personal accident form,Staff Pysical Assault - 10/11/2021 - Clapham Traincare Depot: A contracted staff member physically assaulted another contracted staff by grabbing them when confronted about why a defective NTBMB has been used at the London End of Clapham Traincare Depot,Shock/Trauma,0.001
SMIS4314916,2021-11-10 14:00:00.000,202108,Canton Buildings MDU,Personal accident form,Staff Accident at Canton Taff Vale Sidings- system engineer grazed their thigh on a tap coming from the ground when alighting from the unit,Non-severe,0.001
SMIS4314963,2021-11-11 00:31:00.000,202108,Keith Portacabins MDU,Personal accident form,PA Perth DU: MOS tripped while trackside and injured hand and back at Keith.,Severe 7,0.01
SMIS4315789,2021-11-11 05:15:00.000,202108,Eastcroft LMD (Nottingham),Personal accident form,Staff accident at Eastcroft Depot,Severe 7,0.01
SMIS4315063,2021-11-12 10:33:00.000,202108,Crewe Sorting Sidings North SB,Personal accident form,PA: A member of Crewe PWay South staff twisted her ankle while exiting a vehicle at Crewe Sorting Sidings North.,Non-severe,0.001
SMIS4327337,2021-11-12 15:15:00.000,202108,Bedford Grain Warehouse MDU,Personal accident form,Bedford - 12/11/2021,Non-severe,0.001
SMIS4332870,2021-11-12 23:45:00.000,202108,Fratton Tcd (LMD),Personal accident form,Staff Accident 12/11/2021 Fratton Traincare Depot: CET Operator fell over CET pipe on 11 / 12 rd,Non-severe,0.001
SMIS4315224,2021-11-14 00:30:00.000,202109,Slade Green LMD,Personal accident form,"Engineering staff injured carrying bags out of 707 units, Slade Green",Severe 7,0.01
SMIS4327336,2021-11-15 09:57:00.000,202109,Three Bridges MDU,Personal accident form,IP struck in head during chlorination of the tanking machine,Non-severe,0.001
SMIS4315241,2021-11-15 14:30:00.000,202109,Ramsgate Train Maintenance Depot,Personal accident form,"Fitter injured using crowbar which slipped, Ramsgate depot",Non-severe,0.001
SMIS4315247,2021-11-15 17:35:00.000,202109,Exeter Olds View Depot MDU,Personal accident form,Accident to Plant Technician at Exeter Depot,Severe 7,0.01
SMIS4315299,2021-11-15 19:30:00.000,202109,Aylesbury LMD,Personal accident form,"15168/21 – Staff member slipped and fell at Aylesbury Depot",Non-severe,0.001
SMIS4315397,2021-11-16 07:30:00.000,202109,Newton Heath LMD (Manchester),Personal accident form,"Fitter slipped on wet floor on depot, injury sustained",Non-severe,0.001
SMIS4315272,2021-11-16 08:16:00.000,202109,Newton Abbott MDU,Personal accident form,Advised by the member of traincrew working SB7811 Turn. The St Blazey RHTT that he has suffered a personal injury whilst at work.,Non-severe,0.001
SMIS4315267,2021-11-16 10:40:00.000,202109,Peterborough Nene Sidings,Personal accident form,PA – DU Hitchin Technician was patrolling from the 4ft at 100m 45 chain Nene Bridge Peterborough on the Up March where they slipped on some ballast and twisted their right knee.,Non-severe,0.001
SMIS4318195,2021-11-17 00:00:00.000,202109,Doncaster Wood Yard,Personal accident form,PA – RS Contractor Balfours Beatty Maintainer steel wire rope had pierced the skin on their right thumb at Doncaster Yard. (IRIS 17650) SCO ref 49878.,Non-severe,0.001
SMIS4315456,2021-11-17 13:00:00.000,202109,Ramsgate Train Maintenance Depot,Personal accident form,Engineer standing up from under a unit struck his forehead on the Dellner coupler lifting frame,Non-severe,0.001
SMIS4317180,2021-11-17 21:30:00.000,202109,Stourbridge Junction Sidings,Personal accident form,"15266/21 – Train Manager cut finger on doorframe at Stourbridge Depot",Non-severe,0.001
SMIS4315414,2021-11-18 07:40:00.000,202109,Ebbw Jct MDU,Personal accident form,PA. Cardiff DU contractor hit hand on a wall at Ebbw depot,Specified,0.125
SMIS4315443,2021-11-18 18:55:00.000,202109,Barton Mills LMD,Personal accident form,"Contractor 03620 18/11/2021 Barton Mill: contractor fell on AWR on 4 road, resulting in a cut to right hand.",Non-severe,0.001
SMIS4315506,2021-11-18 19:50:00.000,202109,Chester MDU,Personal accident form,"PA: A member of staff whilst gaining access to Chester Sidings, trapped their right thumb in access gate, resulting in swelling and bruising. IRIS 16812",Non-severe,0.001
SMIS4319040,2021-11-18 21:10:00.000,202109,Shoeburyness CSD,Personal accident form,Shoeburyness CSD - Train Care Assistant stumbled over a vacuum cleaner hose and fell onto a box,Non-severe,0.001
SMIS4315516,2021-11-19 00:30:00.000,202109,Ashford depot (carriage sidings),Personal accident form,Engineer cleaning 395026 at Ashford Depot cut hand on protrusion,Non-severe,0.001
SMIS4315499,2021-11-19 01:55:00.000,202109,Eastcroft LMD (Nottingham),Personal accident form,Staff accident at Eastcroft Depot,Specified,0.125
SMIS4317179,2021-11-19 04:25:00.000,202109,Aylesbury LMD,Personal accident form,"15343/21 – Staff Member hurt leg whilst in stores room at Aylesbury Depot",Non-severe,0.001
SMIS4315575,2021-11-19 09:26:00.000,202109,Bournemouth West LMD,Personal accident form,PA - Staff Accident - Outer DU - A member of staff sustained a swollen arm after being bitten by a spider at Bournemouth Maintenance Depot.,Non-severe,0.001
SMIS4315464,2021-11-19 19:20:00.000,202109,Doncaster Marshgate Depot,Personal accident form,PA – DU Doncaster Team Leader rubbed something into their left eye and caused an irritation at Doncaster.(IRIS 16856),Non-severe,0.001
SMIS4315640,2021-11-19 21:40:00.000,202109,Crown Point LMD (Norwich),Personal accident form,Overhead Line Incident at Crown Point Depot,Shock/Trauma,0.001
SMIS4315539,2021-11-20 00:44:00.000,202109,Plymouth (Laira) Diesel LMD,Personal accident form,Minor injury to Driver at Laira Depot,Non-severe,0.001
SMIS4315541,2021-11-20 11:07:00.000,202109,Plymouth (Laira) Diesel LMD,Personal accident form,Technician minor injury at Laira Depot,Non-severe,0.001
SMIS4316809,2021-11-20 12:00:00.000,202109,Bedford Grain Warehouse MDU,Personal accident form,PA - Bedford MOM sustained bruising to right hand when a badly stored LOWS aerial fell on it at Bedford Grain Store.  IRIS 17161,Non-severe,0.001
SMIS4316028,2021-11-21 01:30:00.000,202109,Blackburn Bridge St MDU,Personal accident form,TPO sustained injury while on duty,Specified,0.125
SMIS4316049,2021-11-21 16:00:00.000,202109,Inverness LMD,Personal accident form,Inverness CSMD No8 Road Whilst carrying out shunting duties strained left shoulder / arm whilst attempting to connect brake (RED) air bags on 43148 and 42035 HA98.,Non-severe,0.001
SMIS4315666,2021-11-22 01:00:00.000,202109,Crown Point LMD (Norwich),Personal accident form,Technician cut hand on glass,Non-severe,0.001
SMIS4315636,2021-11-22 12:30:00.000,202109,Strawberry Hill LMD (London),Personal accident form,"Contractor 22/11/2021 Strawberry Hill Depot: contractor who was making a delivery fell at the staff L/C, resulting in a cut to their finger.",Non-severe,0.001
SMIS1711772,2021-11-23 12:25:00.000,202109,Shrub Hill LMD (Worcester),"Non-rail vehicle colliding with animal, object or another road vehicle",Driver involved in RTA while on duty,Non-severe,0.001
SMIS4315766,2021-11-24 00:00:00.000,202109,Ashford depot (carriage sidings),Personal accident form,"Hitachi engineer injured back removing bogie, Hitachi depot",Non-severe,0.001
SMIS4315752,2021-11-24 05:30:00.000,202109,Crewe Carriage Sidings,Personal accident form,Driver accident at Crewe,Severe 7,0.01
SMIS4315739,2021-11-24 13:55:00.000,202109,East Croydon MDU,Personal accident form,PA - Croydon DU MOS hurt their back whilst lifting a locker at East Croydon Depot,Severe 7,0.01
SMIS4316162,2021-11-25 07:40:00.000,202109,Allerton LMD,Personal accident form,fitter sustained injury while on duty,Non-severe,0.001
SMIS4315838,2021-11-25 22:42:00.000,202109,Bristol Queen Anne Rd MDU,Personal accident form,STAFF ACCIDENT - Bristol Driver advises he fell over on the walking route from Barton Hill to Temple Meads on an uneven piece of tarmac. he was requested to submit a report. Network Rail fault reference 508483. Safety of the Line Group & Bristol H+S Rep advised.,Non-severe,0.001
SMIS4315981,2021-11-26 13:33:00.000,202109,Penzance (Long Rock) LMD,Personal accident form,"Minor accident to Technician at Long Rock Depot, Penzance",Non-severe,0.001
SMIS4315973,2021-11-28 02:00:00.000,202109,Salisbury LMD,Personal accident form,Staff Accident - 28/11/2021 - Salisbury Traincare Depot: A member of fleet staff at injured their finger whilst removing the plastic covering from an engine at Salisbury Traincare Depot,Non-severe,0.001
SMIS4316610,2021-11-28 19:35:00.000,202109,Allerton LMD,Personal accident form,"Driver slipped on ice, injury sustained",Severe 7,0.01
SMIS4330484,2021-11-29 00:00:00.000,202109,Freightliner Leeds,Personal accident form,Staff Accident at Leeds FLT,Non-severe,0.001
SMIS4316013,2021-11-29 10:40:00.000,202109,Penzance (Long Rock) LMD,Personal accident form,Minor accident to Shunter at Long Rock Depot,Non-severe,0.001
SMIS4316200,2021-11-29 17:00:00.000,202109,Ramsgate MDU,Personal accident form,"Driver injured knee , Ramsgate depot",Non-severe,0.001
SMIS4316482,2021-11-30 02:15:00.000,202109,Guildford Up Carriage Sidings,Personal accident form,Contractor 30/11/2021 Guildford Sidings: Contracted member of cleaning staff cut their finger on shard of glass when wiping a window on 455725.,Non-severe,0.001
SMIS4316203,2021-11-30 09:43:00.000,202109,Preston Butler St MDU,Personal accident form,"Cleaner slipped on wet footplate, injury sustained",Non-severe,0.001
SMIS4316320,2021-11-30 10:49:00.000,202109,Tyseley LMD,Personal accident form,Member of depot staff amputated top 10mm of finger after an unsafe act during train maintenance,Specified,0.125
SMIS4316139,2021-11-30 11:40:00.000,202109,Eastcroft LMD (Nottingham),Personal accident form,Staff accident at Eastcroft Depot,Severe 7,0.01
SMIS4316134,2021-12-01 07:30:00.000,202109,Treherbert depot,Personal accident form,Staff accident at Treherbert Depot,Non-severe,0.001
SMIS4316205,2021-12-01 12:00:00.000,202109,Ramsgate Train Maintenance Depot,Personal accident form,Ramsgate engineer dropped their tool on their back when working 23 Road,Non-severe,0.001
SMIS4316191,2021-12-01 12:40:00.000,202109,Haymarket LMD (Edinburgh),Personal accident form,"Whilst a staff member was climbing into a HST he struck his head on the door frame causing a cut, Cut to head.",Non-severe,0.001
SMIS4316457,2021-12-02 01:45:00.000,202109,Darlington MDU,Personal accident form,"Cleaner fell while on duty, injury sustained",Non-severe,0.001
SMIS4327602,2021-12-02 12:30:00.000,202109,Selhurst Depot,Personal accident form,Selhurst Engineering Depot Overhaul - 02/12/2021,Non-severe,0.001
SMIS4327732,2021-12-03 12:28:00.000,202109,Stewarts Lane LMD (London),Personal accident form,IP injured finger while deep cleaning 455,Non-severe,0.001
SMIS4327755,2021-12-05 08:54:00.000,202109,Brighton Ced Swimu MDU,Personal accident form,Brighton Engineering Depot - 05/12/2021,Non-severe,0.001
SMIS4317805,2021-12-06 08:10:00.000,202109,Liverpool Heathfield St MDU,Personal accident form,PA - Liverpool DU: Technician fell over walking just outside of the official walking route at Liverpool CMD and sustained a sprained foot,Non-severe,0.001
SMIS4316591,2021-12-07 01:05:00.000,202109,Canton Buildings MDU,Personal accident form,Minor Canton Depot,Severe 7,0.01
SMIS4316733,2021-12-07 01:45:00.000,202109,Motherwell LMD,Personal accident form,Employee falls in depot,Non-severe,0.001
SMIS4319456,2021-12-07 03:15:00.000,202109,Brighton MDU,Personal accident form,Staff accident Brighton Engineering,Non-severe,0.001
SMIS4316541,2021-12-07 08:33:00.000,202109,Heaton LMD,Personal accident form,Fitter sustained head injury while on duty,Non-severe,0.001
SMIS4316614,2021-12-07 15:30:00.000,202109,Blackpool MDU,Personal accident form,Depot supervisor injured on duty,Non-severe,0.001
SMIS4316557,2021-12-07 16:25:00.000,202109,Orient Way,Personal accident form,Southend driver STF in depot - Lost time,Severe 7,0.01
SMIS4317125,2021-12-08 00:00:00.000,202109,Eastcroft LMD (Nottingham),Personal accident form,Staff accident at Eastcroft Depot,Non-severe,0.001
SMIS4316539,2021-12-08 00:10:00.000,202109,Exeter Olds View Depot MDU,Personal accident form,Minor accident to Technician at Exeter Depot,Non-severe,0.001
SMIS4316952,2021-12-08 12:00:00.000,202109,Salisbury LMD,Personal accident form,Staff SOROS5082 08/12/2021 Salisbury Traincare Depot: member of staff caught back on metal bogie bracket of 159012.,Non-severe,0.001
SMIS4316746,2021-12-08 20:45:00.000,202109,Crewe Gresty,Personal accident form,Advised by driver working PF0014 duty that his trainee has suffered a fall walking from Crewe Basford Hall to the station on the boarded crossing for the Nantwich lines after missing their footing on the crossing boards.,Non-severe,0.001
SMIS4316711,2021-12-09 22:00:00.000,202109,Ilford LMD (London),Personal accident form,Train presentation cleaner struck head on ceiling panel,Non-severe,0.001
SMIS4319504,2021-12-10 00:54:00.000,202109,Hornsey LMD,Personal accident form,Staff accident Hornsey Engineering depot,Non-severe,0.001
SMIS4316935,2021-12-10 04:00:00.000,202109,Crofton,Personal accident form,Driver got cramp and STF @ Crofton Depot,Non-severe,0.001
SMIS4316860,2021-12-10 20:30:00.000,202109,Allerton LMD,Personal accident form,"Depot driver slipped when alighting unit, injury sustained",Non-severe,0.001
SMIS4316977,2021-12-11 00:00:00.000,202109,Allerton LMD,Personal accident form,Depot driver sustained injury,Non-severe,0.001
SMIS4317051,2021-12-11 00:00:00.000,202109,Etches Park LMD (Derby),Personal accident form,STF Other at Etches Park,Non-severe,0.001
SMIS4317298,2021-12-11 03:00:00.000,202109,Aylesbury LMD,Personal accident form,"16822/21 – Staff Member hurt his back when splitting a unit at Aylesbury Depot",Non-severe,0.001
SMIS4316833,2021-12-11 12:25:00.000,202109,Canton Buildings MDU,Personal accident form,Staff Accident at Cardiff Canton Sidings,Non-severe,0.001
SMIS4317066,2021-12-11 21:29:00.000,202109,Crown Point LMD (Norwich),Personal accident form,NCP Yard Controller strained arm,Non-severe,0.001
SMIS4316770,2021-12-11 23:08:00.000,202109,Doncaster Marshgate MDU,Personal accident form,PA - Welder (Doncaster DU) sprained their left ankle whilst exiting the van at Doncaster Marshgate Depot (IRIS 17293),Severe 7,0.01
SMIS4316994,2021-12-12 00:00:00.000,202110,Heaton LMD,Personal accident form,"Cleaner slipped on depot, injury sustained",Non-severe,0.001
SMIS4318346,2021-12-12 13:15:00.000,202110,Southall Merrick Rd MDU,Personal accident form,"PA - Colas advised that after completing the transit and stabled up in Southall, one of the crew banged his head on the door frame as he entered the machine to retrieve his bag. IRIS 17273",Non-severe,0.001
SMIS4332735,2021-12-13 00:30:00.000,202110,Bournemouth West LMD,Personal accident form,Contractor Accident 13/12/2021 Bournemouth Traincare Depot: contracted member of sanding staff fell over piece of rubble,Non-severe,0.001
SMIS4316891,2021-12-13 14:00:00.000,202110,Singlewell IMD,Personal accident form,PA DU Singlewell - MOS strained their back whilst moving a box at Singlewell,Severe 7,0.01
SMIS4316906,2021-12-13 15:00:00.000,202110,Tees Yard,Personal accident form,Personal Injury reported by a member of staff at Tees Yard who was using a power jack when cutting a stanchion pin from BBA 910111 a wedge of metal flew out of the wagon when cutting was happening resulting the member of being hit in the face,Non-severe,0.001
SMIS4316898,2021-12-13 17:37:00.000,202110,Canton Buildings MDU,Personal accident form,Minor Canton Depot Employee cut finger on Stanley knife,Non-severe,0.001
SMIS4330485,2021-12-15 00:00:00.000,202110,Freightliner Manchester,Personal accident form,Cut Finger,Non-severe,0.001
SMIS4317124,2021-12-15 00:00:00.000,202110,Etches Park LMD (Derby),Personal accident form,STF Other at Etches Park,Non-severe,0.001
SMIS4317050,2021-12-15 11:19:00.000,202110,Salisbury LMD,Personal accident form,Staff Accident -15/12/2021 - Salisbury Traincare Depot: A member of fleet staff cut their finger while fitting brake pads at Salisbury Traincare Depot,Non-severe,0.001
SMIS4318005,2021-12-16 18:30:00.000,202110,Crown Point LMD (Norwich),Personal accident form,SRSUK Contractor fell from bike en route to the depot,Non-severe,0.001
SMIS4317431,2021-12-17 11:00:00.000,202110,Aylesbury LMD,Personal accident form,"17138/21 – Staff member slipped on access bridge at Aylesbury Depot",Non-severe,0.001
SMIS4317272,2021-12-18 01:55:00.000,202110,Exeter Olds View Depot MDU,Personal accident form,Cleaner at Exeter Depot sustained a minor injury,Non-severe,0.001
SMIS4317275,2021-12-18 08:45:00.000,202110,Penzance (Long Rock) LMD,Personal accident form,Minor injury to technician at Long Rock Depot.,Non-severe,0.001
SMIS4317353,2021-12-19 01:50:00.000,202110,Eastcroft LMD (Nottingham),Personal accident form,Staff accident at Eastcroft Depot,Non-severe,0.001
SMIS4317279,2021-12-19 12:30:00.000,202110,Bristol St Philips Marsh LMD,Personal accident form,Shunter at SPM Depot aggravated a previous injury whilst pulling points,Severe 7,0.01
SMIS4317521,2021-12-19 12:30:00.000,202110,Tyseley LMD,Personal accident form,Driver reported they had trapped two of their fingers in a class 172 fly door at Tyseley depot,Non-severe,0.001
SMIS4321070,2021-12-20 11:30:00.000,202110,Lovers Walk TMD,Personal accident form,Staff accident Lovers Walk,Non-severe,0.001
SMIS4321426,2021-12-21 01:30:00.000,202110,Bedford Midland Rd Yd MDU,Personal accident form,Staff accident Bedford Claudwell Depot,Non-severe,0.001
SMIS4317385,2021-12-21 08:00:00.000,202110,Morpeth MDU,Personal accident form,"PA - Newcastle DU OLE Working Supervisor tripped when loading PPE into the van at Morpeth MDU, suffering bruising to left ankle. Ref. 0187.",Non-severe,0.001
SMIS4321121,2021-12-21 11:00:00.000,202110,Lovers Walk TMD,Personal accident form,Staff accident Lovers Walk,Non-severe,0.001
SMIS4317426,2021-12-21 21:00:00.000,202110,Ramsgate Train Maintenance Depot,Personal accident form,STF Ramsgate depot,Non-severe,0.001
SMIS4317835,2021-12-22 00:30:00.000,202110,Immingham,Personal accident form,North Lincolnshire Mobile Operative reports that they have pulled their back whilst standing up.,Non-severe,0.001
SMIS4317782,2021-12-22 02:05:00.000,202110,Orient Way,Personal accident form,Train presentation contractor interacted with needle,Non-severe,0.001
SMIS4317455,2021-12-22 06:10:00.000,202110,Aberdeen MDU,Personal accident form,Staff member falls at depot,Non-severe,0.001
SMIS4317450,2021-12-22 08:00:00.000,202110,Ashford depot (carriage sidings),Personal accident form,Hitachi Shunter slipped on alleged icy points,Non-severe,0.001
SMIS4317969,2021-12-23 01:00:00.000,202110,Allerton LMD,Personal accident form,fitter sustained injury while on duty,Non-severe,0.001
SMIS4318344,2021-12-23 06:30:00.000,202110,Sizewell Sidings LC,Personal accident form,PA - (Route Services) - Volker Rail Route Knowledge Manager pulled their back using the GF at Sizewell. IRIS 17741,Non-severe,0.001
SMIS4317820,2021-12-23 08:35:00.000,202110,Doncaster Up Decoy,Personal accident form,Personal Injury reported at Doncaster Up Decoy Yorkshire Mobile Operative has slipped and fallen backwards onto their backside banging their wrist whilst walking on the wooden walkway outside the Up Decoy cabin.,Non-severe,0.001
SMIS4317492,2021-12-23 15:30:00.000,202110,Eastleigh,Personal accident form,PA DU Outer MOS was struck in the face and knee by a gate which caused bruising at Eastleigh Depot,Non-severe,0.001
SMIS4317503,2021-12-24 00:30:00.000,202110,Etches Park LMD (Derby),Personal accident form,Staff accident at Etches Park,Non-severe,0.001
SMIS4317843,2021-12-24 08:00:00.000,202110,Immingham,Personal accident form,Personal Injury reported at Immingham C&W. Fitter reports solar lighting in the stores container switched off while fitter was in the container.,Non-severe,0.001
SMIS4317896,2021-12-25 12:30:00.000,202110,Bletchley LMD,Personal accident form,"Didcot BD & R Supervisor advises that on 25/12/21 that he  attended a derailment at Bletchley.  He arrived  on site at 12:00 and walked around 300 yards to the derailed train and proceeded to lift the relevant equipment  with his team members, none of which was heavy",Non-severe,0.001
SMIS4317902,2021-12-26 12:26:00.000,202110,Bletchley LMD,Personal accident form,Report of a personal accident received from Wigan BD&R Supervisor.,Non-severe,0.001
SMIS4317568,2021-12-27 08:20:00.000,202110,Inverness LMD,Personal accident form,Staff member falls at depot,Severe 7,0.01
SMIS4321694,2021-12-27 09:55:00.000,202110,Selhurst Depot,Personal accident form,Driver accident Selhurst Depot,Non-severe,0.001
SMIS4317928,2021-12-27 14:00:00.000,202110,Heaton LMD,Personal accident form,TPO sustained injury while on duty,Non-severe,0.001
SMIS4317968,2021-12-27 15:30:00.000,202110,Wembley Depot,Personal accident form,"17594/21 – Staff Member's leg slipped into pit at Wembley Depot",Non-severe,0.001
SMIS4317980,2021-12-28 04:25:00.000,202110,Sheffield LMD,Personal accident form,"Guard tripped on cable, injury sustained",Non-severe,0.001
SMIS4317623,2021-12-28 11:30:00.000,202110,Ashford depot (carriage sidings),Personal accident form,Hitachi fitter injured hand,Non-severe,0.001
SMIS4317885,2021-12-30 19:15:00.000,202110,Crewe Carriage Sidings,Personal accident form,"A fitter has reported that whilst pushing pit steps down No.1 road from underneath 90028 towards 90024, whilst his head was slightly lowered his bump cap struck at pit plank knocking his bump cap and safety glasses from his head.",Severe 7,0.01
SMIS4317985,2021-12-30 22:40:00.000,202110,Heaton LMD,Personal accident form,TPO sustained injury while on duty,Non-severe,0.001
SMIS4317987,2021-12-31 10:15:00.000,202110,Neville Hill LMD (Ns) Northern Rail,Personal accident form,Fitter suffered electric shock while on duty,Non-severe,0.001
SMIS4317756,2022-01-01 23:00:00.000,202110,Clapham Junction MDU,Personal accident form,PA - Cap Del WD Contractor was stood on step of van which broke and the IP fell at Clapham Junction and sustained a sprain to the right ankle. SCO 49834,Non-severe,0.001
SMIS4317837,2022-01-01 23:38:00.000,202110,Reading Traincare Depot,Personal accident form,Minor accident to traincare operative at Reading Traincare Depot,Non-severe,0.001
SMIS4330519,2022-01-03 00:00:00.000,202110,Freightliner Ipswich,Personal accident form,Loud bang from air pressure test,Non-severe,0.001
SMIS4321303,2022-01-03 04:00:00.000,202110,Toton TMD,Personal accident form,"Personal injury to member of engineering staff at Toton reported via Production manager. Whilst staff member was working in the aspirator pit his work light fell off compressor onto back of head, below hard hat resulting in a small cut to back of head.",Non-severe,0.001
SMIS4317769,2022-01-03 08:43:00.000,202110,Ramsgate MDU,Personal accident form,PA DU Ashford - IP caught his leg on the hand brake straining his back at Ramsgate,Non-severe,0.001
SMIS4317858,2022-01-03 15:31:00.000,202110,Canton Buildings MDU,Personal accident form,"Minor Canton depot employee injured his hand, it slipped while using a tool",Non-severe,0.001
SMIS4318145,2022-01-04 13:42:00.000,202110,Soho LMD (Birmingham),Personal accident form,Staff accident Soho depot,Non-severe,0.001
SMIS4317888,2022-01-04 17:00:00.000,202110,Ramsgate Train Maintenance Depot,Personal accident form,Ramsgate Depot Shunter reports straining their shoulder setting route,Non-severe,0.001
SMIS4318051,2022-01-05 00:20:00.000,202110,Farnham LMD,Personal accident form,"Contractor SOROS5298 05/01/2021 Farnham Traincare Depot: contractor fell on AWR in shed, resulting in cut to hand.",Non-severe,0.001
SMIS4318044,2022-01-05 14:30:00.000,202110,Ilford LMD (London),Personal accident form,Technician STF in pit,Non-severe,0.001
SMIS4317989,2022-01-05 14:41:00.000,202110,Grove Park Depot,Personal accident form,Workforce STF Grove Park Depot,Non-severe,0.001
SMIS4318055,2022-01-05 22:50:00.000,202110,Farnham LMD,Personal accident form,Staff SOROS5300 05/01/2022 Farnham Traincare Depot. contractor strained back when alighting unit on 10 road.,Non-severe,0.001
