"smis_reference","event_date","period","place","report_title","railway_operating_incident_type","description","owning_org","organisations_involved"
SMIS2629397,2021-08-22 17:01:00.000,202106,,Railway operating incident,Other: Other: unknown,SCO - Wagons not Loaded Correctly on 6G41and 6G42,GB Railfreight,"GB Railfreight, Network Rail"
SMIS2629412,2021-08-23 02:25:00.000,202106,Doncaster Down Decoy,Railway operating incident,Other: Incorrect Consist,Intermodal arrived iPort with incorrect consist,GB Railfreight,GB Railfreight
SMIS2629461,2021-08-24 05:30:00.000,202106,Craigentinny LMD (Edinburgh),Railway operating incident,Other train movement without authority: Wrong train taken off depot,Wrong Unit Taken,Lumo,"Hitachi, London North Eastern Railway, Lumo"
SMIS2258499,2021-08-24 16:00:00.000,202106,London Marylebone; Wembley Depot,Person in a prohibited area,Train door incident,"10473/21 – Overcarry of Passenger on AL04 at Wembley Depot",Chiltern Railways,Chiltern Railways
SMIS2629438,2021-08-24 22:22:00.000,202106,Doncaster Down Decoy,Railway operating incident,Load not properly secured to vehicle,Intermodal – 4L21 Box on 3 spigots,GB Railfreight,"GB Railfreight, Network Rail"
SMIS2629553,2021-08-26 15:34:00.000,202106,Clayhills LMD (Aberdeen),Railway operating incident,Other: incorrect TRB entry,OCC OPS: Signaller made incorrect entry in TRB regarding opening of Clayhills depot following a LB.,Network Rail,"Network Rail, ScotRail"
SMIS2629469,2021-08-26 19:18:00.000,202106,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,Wrong route - 1E67 (16:27 Plymouth - Leeds) was wrongly routed towards Gloucester at G237 signal at Gloucester Yard Jn. Not taken.,Network Rail,"CrossCountry, Network Rail"
SMIS453982,2021-08-26 23:58:00.000,202106,Woking Up Yard,SPAD and operating incident form,Wrong route set for train,"Operating Incident, 26/08/2021, Woking ASC routed 5A82 into Woking Up yard without Shunter accepting train into the yard. The train stopped by WUY-2 stop board. When the shunter phoned the signaller to say they did not accept the train, the signaller apologies and that it was chaotic there was no other movements taking placing and this did not cause an operational incident as the train could be berthed into DER-3.",South Western Railway,"Network Rail, South Western Railway"
SMIS2629502,2021-08-27 08:07:00.000,202106,Gloucester Yard Jcn,Railway operating incident,Wrong route set for train,"Wrong  Routing - 1S37 (05:25 Plymouth to Newcastle) was wrong routed from G237 towards G252 (On curve towards station), Gloucester Yard Jnc. Route not taken",Network Rail,"CrossCountry, Network Rail"
SMIS2629801,2021-08-29 02:52:00.000,202106,Theale Yard,Railway operating incident,,OCC - Works Delivery staff had taken a Sidings possession for Theale Yard but failed to contact the signaller for reception lines 1 and 2,Network Rail,Network Rail
SMIS2630297,2021-08-31 00:38:00.000,202106,Crofton,Railway operating incident,Other: Left depot with side panel open,OPERATIONAL INCIDENT - 220022 departed Crofton depot onto the main line with the side skirt still lowered.,CrossCountry,"CrossCountry, Avanti West Coast"
SMIS2629561,2021-09-01 16:00:00.000,202106,Wakefield Europort Yard,Railway operating incident,Other: TOPS ERROR,Complaint received from the customer via the TOPS Data Analyst's. 4O43 05:51 Wakefield Europort to Southampton Western Docks has arrived with 2 wagons less than that what the TOPS consist showed.,DB Cargo (UK),DB Cargo (UK)
SMIS2629571,2021-09-02 10:15:00.000,202106,Immingham,Railway operating incident,Train door incident,Advised by North Lincolnshire SAM that during loading at IBT hopper 3 of HTA wagon 310683 opened causing approx 15-20T of coal to spill.,DB Cargo (UK),"DB Cargo (UK), GB Railfreight"
SMIS3716550,2021-09-03 09:42:00.000,202106,Woolley Coal Siding,"Train striking or struck by animal, object or road vehicle",Detonators not removed,TSBS/OCC 1Y11 (09:09 Leeds-Nottingham) struck detonator and PLB near Woolley Coal Sidings.,Network Rail,"Network Rail, Northern"
SMIS2629642,2021-09-03 10:30:00.000,202106,Fairwater Yard (Taunton),Railway operating incident,,OCC - 1 X Patroller signed in with Taunton Operational Base Depot Supervisor (DS) and received a brief that no train movements where being undertaken but a Loco was seen moving Exeter end of the Taunton Fairwater Yard at the head shunt. IRIS 15213,Network Rail,"Network Rail, Other, CrossCountry"
SMIS2629598,2021-09-03 11:14:00.000,202106,Peak Forest Tdc,Railway operating incident,Handbrake left on (HBLO),HBLO on 6G92,GB Railfreight,"DB Cargo (UK), GB Railfreight, Network Rail"
SMIS2629622,2021-09-06 02:21:00.000,202106,Freightliner Southampton Maritime,Railway operating incident,Train brakes not released,"4034 – Brake Drag – Southampton Western Docks",GB Railfreight,"Freightliner Group, GB Railfreight, Network Rail"
SMIS2629640,2021-09-07 12:00:00.000,202106,Scunthorpe Goods Yard,Railway operating incident,Train brakes not released,"Advised by the SAM dealing with the Derailment incident involving 6D97 01:44 Lackenby B.S.C. - Scunthorpe Ent 'C' that he has discovered wagon BBA 910362 with its hand brake on the wheels are discoloured but the wheel has no signs of scaling the hand brake was taken off 7 1/2 turns and it has been discovered that the on handbrake ""On/Off"" indicator is defective and the indicator shows ""Off"".",DB Cargo (UK),DB Cargo (UK)
SMIS2629658,2021-09-08 22:49:00.000,202106,Hams Hall Railfreight Terminal,Railway operating incident,,"4L04 - FFAU3939968 Railed with no DG note",GB Railfreight,"GB Railfreight, Network Rail"
SMIS2629672,2021-09-09 15:37:00.000,202106,Clapham Train Care Depot,Railway operating incident,Train speeding,Train Speeding / TPWS against Red 09/09/2021 Clapham Yard: Driver of 5R45 found to have exceed 5 mph PSR by 4.92 mph. Incident came to light after 5R45 tripped TPWS grids for W1032. OSS set at 10 mph. Tripped at 9.92 (0.08 mph under). Formed of 450 x 8.,South Western Railway,"Network Rail, South Western Railway"
SMIS2629706,2021-09-10 00:00:00.000,202106,Eastcroft LMD (Nottingham),Railway operating incident,Other: Under investigation,Depot Operational incident,East Midlands Railway,"East Midlands Railway, East Midlands Railway"
SMIS34194,2021-09-11 08:38:00.000,202106,Doncaster Wood Yard,Train colliding with another train,Train authorised to proceed with points incorrectly set,"Collision/Derailment - Wagon YXA/DR92616 collided into KRA97109, causing KRA/NR97109 to derail & push the buffer stop back approx. 5 metres on the No. 3 Reception at Doncaster Wood Yard. A set of hand-points had been overlooked. IRIS ref 15303.",Network Rail,"DB Cargo (UK), Network Rail"
SMIS2629781,2021-09-15 13:14:00.000,202106,Freightliner Felixstowe,Railway operating incident,Other: DG Paperwork Error,Dangerous Goods Irregularity – 4F62 – Felixstowe,GB Railfreight,"Freightliner Group, GB Railfreight, Network Rail"
SMIS2629779,2021-09-15 14:15:00.000,202106,Freightliner Southampton Maritime,Railway operating incident,Other: Other: Incorrectly listed,Intermodal – 4M19 Missed DG,GB Railfreight,"Freightliner Group, GB Railfreight, Network Rail"
SMIS2629783,2021-09-15 17:05:00.000,202106,Doncaster Belmont Yard,Railway operating incident,Other: DG Note Issue,- Intermodal – DG Note Issue – 4L00 – Doncaster Railport,GB Railfreight,"DB Cargo (UK), GB Railfreight, Network Rail"
SMIS2629799,2021-09-16 11:00:00.000,202106,Peak Forest Tdc,Railway operating incident,Train brakes not released,"6M52 05:52 Attercliffe Sidings - Peak Forest has arrived back at Peak Forest Cemex and two MMA wagons 7055004151 & 7055001488 have had the hand brakes left on and the wheels have scaling and flat spots on them",DB Cargo (UK),DB Cargo (UK)
SMIS453257,2021-09-16 21:05:00.000,202106,Farnham LMD,SPAD and operating incident form,Other: Shunted train routed incorrectly,"Operating Incident, 16/09/2021, During a shunt move at Farnham Traincare Depot, a 4 car unit (450009) was routed into 3 road, where a 12 car unit was already birthed. The unit should have been routed into 2 road. The Driver stopped one coach short of the birthed unit. The initial cause has been attributed to the shunter thinking they had set the correct route, and a lack of communication between the depot Driver and shunter.",South Western Railway,South Western Railway
SMIS2629841,2021-09-18 09:50:00.000,202106,Grangemouth Yard,Railway operating incident,Other: Other: containers are out of gauge,"4S49 21:58 Daventry to Grangemouth, arrived and upon inspection found 2 containers had  travelled from Daventry on FIA wagon # 704938204-5",DB Cargo (UK),"DB Cargo (UK), Network Rail"
SMIS2629845,2021-09-20 11:52:00.000,202107,Freightliner Ipswich,Railway operating incident,,OCC (ASPRO) - Sidings Irregularity; no STOP BOARD in place within the sidings at Ipswich during RRV movement.,Network Rail,"Freightliner Group, Network Rail, Other, CrossCountry"
SMIS2629919,2021-09-23 18:47:00.000,202107,Peterborough Tcd,Railway operating incident,Other: Propelled over Derailer with out derailment occuring,Operational Irregularity – Peterborough Shed,GB Railfreight,"DB Cargo (UK), GB Railfreight"
SMIS2630355,2021-09-24 02:30:00.000,202107,Aylesbury LMD,Railway operating incident,Other: Train moved with water pipe still attached.,"12082/21 – Unit 168001 moved with water pipe still attached at Aylesbury Depot",Chiltern Railways,Chiltern Railways
SMIS2632361,2021-09-24 05:39:00.000,202107,Doncaster Belmont Yard,Railway operating incident,Other: Hitachi staff onboard unauthorised,A member of Hitachi staff was seen leaving 3A19 without any notification to the Driver after activating a pass comm bringing the train to a stand.,London North Eastern Railway,"DB Cargo (UK), Hitachi, London North Eastern Railway, East Midlands Railway"
SMIS2629972,2021-09-27 11:28:00.000,202107,Immingham,Railway operating incident,,"6C85 10:55 Immingham H.I.T. - Scunthorpe CHP that product has been spilt between has wagons during the locating process",DB Cargo (UK),"DB Cargo (UK), GB Railfreight"
SMIS2629973,2021-09-27 20:50:00.000,202107,Rotherham Steel Terminal,Railway operating incident,Train door incident,"6V77, Rotherham - Margam, is delayed departing due to having to detach a wagon from consist.",DB Cargo (UK),DB Cargo (UK)
SMIS2630011,2021-09-28 11:40:00.000,202107,Wimbledon LMD (London),Railway operating incident,Other: Train moved with not to be moved board attached.,"28/09/2021 / Wimbledon Traincare Depot / Operational Incident  (NTBMB incident):  A 10 car 458 set moved in the new sidings at Wimbledon Traincare Depot with a Not to Be Moved Boards (NTBMB) attached to the unit",South Western Railway,South Western Railway
SMIS2630023,2021-09-28 19:05:00.000,202107,Tees Yard,Railway operating incident,,DG Incident / Loading Irregularity - Mossend Euro terminal report a tanktainer FOTU 5437407 has arrived from Teesport on 4S92 19:05 Tees Dock - Mossend Euroterminal on wagon IKA 6849099658. Container loaded with Ethanol (1170RE).,DB Cargo (UK),DB Cargo (UK)
SMIS2630026,2021-09-29 11:00:00.000,202107,DRS Carlisle - Kingmoor,Railway operating incident,Other train movement without authority: Runaway,Network Rail P-Way staff working on No.7 sorting sidings at Carlisle Kingmoor have reported that 4 small ballast wagons have just moved 80-100 yard on No.9 sortings sidings of their own accord.,DB Cargo (UK),"DB Cargo (UK), Direct Rail Services, Other, CrossCountry"
SMIS2632356,2021-09-29 11:28:00.000,202107,Bounds Green LMD,Railway operating incident,Other: Unauthorised entry to rear cab,Driver reports ready to do a shunt from 9 rd - 10 rd when someone entered the back cab .,London North Eastern Railway,"Hitachi, London North Eastern Railway"
SMIS453265,2021-10-01 03:10:00.000,202107,Bournemouth West LMD,SPAD and operating incident form,Other: Jumper Connection Box caught fire whilst performing a shunt move,"Operating Incident, 01/10/2021, During a shunt move on Bournemouth Traincare Depot involving the class 73 and class 450 coach, 63255 between number 1 and 3 roads the jumper connection box on the coach caught fire. Investigations are ongoing, though initial indications are that the traction current earthed through the shoe gear was not in connection with the conductor rail but had not been tied up to its full height. It was raining heavily at the time of the incident. There was no damage to the conductor rail.",South Western Railway,South Western Railway
SMIS2630086,2021-10-01 13:10:00.000,202107,Crewe Sorting Siding North,Railway operating incident,,OCC: Driver making a shunt move at Crewe SS North reported a group of staff did not acknowledge his horn when he sounded it and were partially obscuring HN19 GPL signal,Network Rail,Network Rail
SMIS2630095,2021-10-01 22:19:00.000,202107,,Railway operating incident,Load not properly secured to vehicle,Loading Irregularity – 4F62 – Peel Ports,GB Railfreight,"GB Railfreight, Network Rail"
SMIS2630147,2021-10-04 08:30:00.000,202107,Eastleigh Long Welded Rail Depot,Railway operating incident,,OCC - RS - Member of staff at the Eastleigh long weld rail depot lifted barriers to move a vehicle without permission  - SCO 49458,Network Rail,Network Rail
SMIS2630254,2021-10-10 14:47:00.000,202107,Wrenthorpe Sidings,Railway operating incident,Train runaway,Runaway Wagon – 6Z52 – Wrenthorpe,GB Railfreight,"GB Railfreight, Network Rail"
SMIS2630878,2021-10-11 03:31:00.000,202107,Scunthorpe Goods Yard,Railway operating incident,Load not properly secured to vehicle,H&NM at Scunthorpe Anchor sidings reported by North Lincolnshire groundstaff member.,DB Cargo (UK),DB Cargo (UK)
SMIS2630279,2021-10-11 21:00:00.000,202107,Ramsgate Train Maintenance Depot,Railway operating incident,Wrong route set for train,"5J58 routed to occupied road, Ramsgate Depot",Southeastern,Southeastern
SMIS2630378,2021-10-12 06:40:00.000,202107,Tilbury Docks,Railway operating incident,Load not properly secured to vehicle,"4M77 arrived at Daventry with container not correctly seated on spigots",Direct Rail Services,"Direct Rail Services, Victa Railfreight"
SMIS2630323,2021-10-12 12:30:00.000,202107,Salisbury LMD,Railway operating incident,Entering possession,"Operational Incident  - 12/10/2021  -  Salisbury Traincare Depot : Two units were seen to be moving in the CET shed at Salisbury Traincare Depot on the same road, at the same time and in close proximity.",South Western Railway,"Network Rail, South Western Railway"
SMIS2630357,2021-10-14 03:21:00.000,202107,Ramsgate Train Maintenance Depot,Railway operating incident,Other: jumper cable pulled out,"Jumper cable pulled out, Ramsgate Depot 22 Road",Southeastern,Southeastern
SMIS2630346,2021-10-14 08:38:00.000,202107,Long Valley Sidings (Basingstoke),Railway operating incident,Train stopped short of station platform,Stop Short - 14/10/2021 - Fleet: The Driver of 2L97 0712 Waterloo – Basingstoke stopped short at Fleet after they missed their braking point for the station and applied the emergency brake.,South Western Railway,"Network Rail, South Western Railway"
SMIS2630349,2021-10-14 20:00:00.000,202107,Brockenhurst Sidings,Railway operating incident,,OCC - 6Z02 (CR 20:00 Brockenhurst to Micheldever) ran through hand points approaching signal BH61 on the no 2 reception road at Brockenhurst sidings - function pending,Network Rail,"Colas Rail, Network Rail"
SMIS2630354,2021-10-15 00:28:00.000,202107,Woking Up Yard,Railway operating incident,Other wrongly authorised train movement: wrong road by the shunter,"Operating Incident (Wrong Roading) - 15/10/2021 -  Woking Up Yard: The Driver of 5F71, formed of an 8 car 455 set, was offered a wrong road by the shunter for a non-electrified road at Woking Up Yard",South Western Railway,"Network Rail, South Western Railway"
SMIS2630359,2021-10-16 09:35:00.000,202107,Doncaster Marshgate Depot,Railway operating incident,Wrong route set for train,Wrong Route - 2R17 09:25 Adwick - Sheffield was incorrectly routed at D302 signal at Doncaster Marshgate Jnc - Route not taken,Network Rail,"Network Rail, Northern"
SMIS2630381,2021-10-17 08:00:00.000,202108,Mossend,Railway operating incident,Other: Other: been found to not be correctly seated on all spigots of wagon,Advised by Mossend TS5 that during train preparation duties of DRS 4E65 container TESU5004480 has been found to not be correctly seated on all spigots of wagon IPA 6849 091697.,DB Cargo (UK),DB Cargo (UK)
SMIS2631315,2021-10-17 09:00:00.000,202108,Brickyard Lane LC,Railway operating incident,,"OCC - incorrectly fitted lift plates and sets of plates fitted upside down were found after planned maintenance work between Brickyard Lane and Hucknall, no ESR installed either. IRIS 16723",Network Rail,Network Rail
SMIS2630540,2021-10-18 00:00:00.000,202108,Network Rail RIDC Melton,Railway operating incident,Scotches not removed,"03/10/21 180108 Ridden A Scotch at RIDC",Grand Central,"Grand Central, Network Rail, Rail Operations Group"
SMIS453293,2021-10-18 11:30:00.000,202108,Bournemouth West LMD,SPAD and operating incident form,Other: Forklift struck a sliding door at Bournemouth Depot,"Near Miss, 18/10/2021, An MB2 storeman who was operating a forklift truck struck a sliding door on a Siemens at Bournemouth Traincare Depot.",South Western Railway,South Western Railway
SMIS2630412,2021-10-18 21:20:00.000,202108,Ramsgate Train Maintenance Depot,Railway operating incident,Wrong route set for train,"5J58 wrong routed in Ramsgate depot, 5J58",Southeastern,Southeastern
SMIS453295,2021-10-19 20:20:00.000,202108,Fratton Tcd (LMD),SPAD and operating incident form,Wrong route set for train,"Operating Incident, 19/10/2021, A Shunter at Fratton Traincare Depot wrongly routed GWR Service 5F29 2158 Portsmouth Harbour – Fratton Traincare Depot into 3 Road vice 4 Road. GWR units are not permitted in 3 Road due to the gauging between the unit and hop ups. The Driver realised the error after the leading bogie crossed the points. The Driver set back so the unit could be routed into the correct road.",South Western Railway,"Great Western Railway, South Western Railway"
SMIS453300,2021-10-20 09:15:00.000,202108,Wimbledon LMD (London),SPAD and operating incident form,Other: Near Miss,"Near Miss, 20/10/2021, An overhead power supply dolly was seen to be rubbing against a 455/456 unit as it was departing 11 road in the shed at Wimbledon Traincare Depot. There is a risk that the dolly could hook onto the unit and be dragged along the train.",South Western Railway,South Western Railway
SMIS2630455,2021-10-21 04:40:00.000,202108,Grove Park Depot,Railway operating incident,,OCC - Ops London Bridge - Staff failed to obtain a line blockage before accessing the track at Grove Park Wash Road,Network Rail,"Network Rail, Southeastern"
SMIS2630461,2021-10-21 22:57:00.000,202108,,Railway operating incident,Train door incident,Possible Open Bottom Door – Tunstead – 6G93,GB Railfreight,"GB Railfreight, Network Rail"
SMIS453309,2021-10-22 14:30:00.000,202108,Clapham Junction LMD (London),SPAD and operating incident form,Other: During a shunt the coach formation divided,"Operating Incident, 22/10/2021, During a shunt move involving an 8 car 455 set on 7 road at Clapham Traincare Depot, the formation divided, and the units came to a stand approximately 10 metres apart.",South Western Railway,South Western Railway
SMIS2630478,2021-10-24 01:45:00.000,202108,,Railway operating incident,Failed to follow safe system of work,OCC - Item 92 Possession Irregularity - SPAD alarm for Kemp Siding at Coventry had been activated prior to the siding been taken under possession.,Network Rail,"Network Rail, Other, CrossCountry"
SMIS2630509,2021-10-24 09:15:00.000,202108,Scunthorpe MDU,Railway operating incident,Train runaway,"""Advised by the operations Supervisor at Scunthorpe that he has been called to inspect a derailed wagon at Redbourne Sidings. He found wagon BEA 951004 loaded with steel blooms destined for lackenby to be derailed and through the buffer stops.",DB Cargo (UK),"DB Cargo (UK), Other, CrossCountry"
SMIS2630732,2021-10-27 05:17:00.000,202108,Allerton LMD,Railway operating incident,Train door incident,"5H03 05:17 Allerton - Blackpool North reports a DOIT at Allerton on unit 331031",Northern,"Network Rail, Northern"
SMIS2630596,2021-10-28 15:50:00.000,202108,Cricklewood Sidings,Railway operating incident,Failed to remain in a position of safety,OCC - A group of three Amey CRE Contractors were observed working in the A/E Group of sidings but were too close to an open siding road and had inadequate safe system of work paperwork at Cricklewood.,Network Rail,"Amey Rail, Network Rail"
SMIS2630665,2021-10-29 09:28:00.000,202108,Leicester Tcd,Railway operating incident,Handbrake left on (HBLO),East Midlands Hub Driver covering LS7893 duty advises that she is stood in Platform 1 at Leicester on 3J92 23:42 Toton TMD - West Hampstead.,DB Cargo (UK),DB Cargo (UK)
SMIS2630667,2021-10-29 10:09:00.000,202108,Trafford Park,Railway operating incident,Other: couplings on the train stretched apart causing the rear wagon to roll back,"4M83 02:35 London Gateway - Trafford Park has been involved in an irregularity when entering Trafford Park terminal. Whilst stood at the stop board protecting the entry to Trafford Park, the South Cheshire Hub Driver on CW0071 duty picked up the groundstaff and obtained his permission before entering Trafford Park.",DB Cargo (UK),DB Cargo (UK)
SMIS2630697,2021-10-31 06:08:00.000,202108,Fratton Tcd (LMD),Railway operating incident,Object encroaching or fouling live electrical equipment,"31/10/2021  - Operational Incident  - Fratton Train Care Depot: As 5E12 0615 Fratton Train Care Depot – Portsmouth & Southsea was departing the depot, it caught a power cable overhanging the washer road, pulling it down and causing it to block the down main line",South Western Railway,"Network Rail, South Western Railway"
SMIS2630625,2021-10-31 10:14:00.000,202108,Wembley Yard,Railway operating incident,Failed to follow safe system of work,OCC -  Possession Irregularity  WON 31 Item 7 - Assistant Engineering Supervisor removed the Worksite Marker Boards but failed to lift the Possession Limit Boards as directed at Wembley Yard.,Network Rail,Network Rail
SMIS453320,2021-11-01 08:35:00.000,202108,Wimbledon LMD (London),SPAD and operating incident form,Other: Overhead trolley supply became caught and disconnected,"Operating Incident, 01/11/2021, An overhead trolley supply became caught on 458519 unit as it was entering 11 road at Wimbledon Traincare Depot, causing the trolley to become disconnected.",South Western Railway,South Western Railway
SMIS453327,2021-11-02 08:40:00.000,202108,Clapham Junction LMD (London),SPAD and operating incident form,Wrong route set for train,"Operating Incident, 02/11/2021, A shunter at Clapham Traincare Depot routed 450025 onto 14 road which was already occupied. The shunter had become pre-occupied with another shunt had forgotten to set the points. The shunter was relieved from their booked duties whilst investigations are ongoing.",South Western Railway,South Western Railway
SMIS2630725,2021-11-02 14:30:00.000,202108,Toton TMD,Railway operating incident,Coupling incorrectly connected,"6Z55 had coupled two locomotives together on the TMD, as he moved away the rear locos brakes were on and the air pipes were not coupled.",DB Cargo (UK),DB Cargo (UK)
SMIS2630817,2021-11-04 20:17:00.000,202108,Hither Green,Railway operating incident,Other train movement without authority: short shunt move without permission,Advised by the PIC in charge of movements at Hither Green Pre Assembly Depot (PAD) that a conflicting move has been made without his permission.,DB Cargo (UK),DB Cargo (UK)
SMIS2630768,2021-11-05 01:09:00.000,202108,,Railway operating incident,Handbrake left on (HBLO),HBLO Derailment– Hams Hall - 4M04 – TTM C Willox TM C May OSM S Carlisle,GB Railfreight,"DB Cargo (UK), GB Railfreight"
SMIS2630815,2021-11-05 14:10:00.000,202108,Immingham,Railway operating incident,Train door incident,Immingham Bulk Mobile Operative reports a door has opened on HTA 310502 during loading at Immingham Bulk Terminal and approximately 10 tons of coal has been spilled on the track.,DB Cargo (UK),"DB Cargo (UK), GB Railfreight"
SMIS45838,2021-11-06 00:00:00.000,202108,Whatley Yard,SPAD and operating incident form,Entering worksite,FML staff observed shunting wagons at Whatley with a mainline loco,Freightliner Group,"DB Cargo (UK), Freightliner Group, Network Rail"
SMIS2630823,2021-11-08 16:50:00.000,202108,Ipswich Sidings,Railway operating incident,Wrong route set for train,Wrong Route - 4M89 16:13 Felixstowe North FLT - Ditton FLT onto No1 Reception in Ipswich Yard vice No3 Reception.,Network Rail,"Freightliner Group, Network Rail"
SMIS45839,2021-11-14 00:00:00.000,202109,Freightliner Coatbridge,SPAD and operating incident form,Exiting possession,"6K01 Possession Irregularity Coatbridge Central",Freightliner Group,Freightliner Group
SMIS2630935,2021-11-14 09:15:00.000,202109,Crewe; Crewe Carriage Sidings (Temporary) ,Railway operating incident,Other wrongly authorised train movement: signal cleared whilst crossing was closed to rail traffic,"OCC/COA: Signaller set a route over Crewe LNWR crossing whilst it was still closed to rail traffic, CE130 was replaced in front of 2G60 (09:12 Crewe - Birmingham)",Network Rail,"Network Rail, West Midlands Trains"
SMIS2630973,2021-11-15 05:18:00.000,202109,Northam Train Care Depot,Railway operating incident,Secondary protection not removed,OCC - CD WDU - Red beacon left in the 4ft following item 500 in the Northam depot area,Network Rail,Network Rail
SMIS2631476,2021-11-16 07:14:00.000,202109,Plumstead Stabling Siding 1,Railway operating incident,Other: Incorrect Mode Chosen before departing. TPWS vice CBTC,"Incorrect Mode chosen TPWS vice CBTC, Shunt move from Plumstead No. 1 Sidings to the Head Shunt",MTR Elizabeth line,"MTR Elizabeth line, Rail for London Infrastructure"
SMIS2631036,2021-11-16 15:00:00.000,202109,Stewarts Lane LMD (London),Railway operating incident,Other train movement without authority: movement in the depot,Stewarts Lane Depot Engineering incident  unauthorised train movement,Govia Thameslink Railway,Govia Thameslink Railway
SMIS2631051,2021-11-18 04:50:00.000,202109,Theale Yard,Railway operating incident,,OCC - Trolley left on the line in Theale sidings No1 Reception Loop when the sidings possession was being given up. SCO 49681,Network Rail,Network Rail
SMIS2631075,2021-11-18 19:21:00.000,202109,Newport Godfrey Rd MDU,Railway operating incident,Load not suitable for route,Loading Irregularity reported by TOPS. Customer releases for 6F10 20:16 Newport Docks - Llanwern shows that BLA 910373 is loaded with 71.7t of slab but the wagons maximum capacity is 70,DB Cargo (UK),DB Cargo (UK)
SMIS2631160,2021-11-19 00:00:00.000,202109,Southend MDU,Railway operating incident,Other: CET hose attached,Near Miss - CET hose left attached 720 unit,Greater Anglia,Greater Anglia
SMIS2631987,2021-11-19 00:24:00.000,202109,Bamfurlong Sidings,Railway operating incident,,OCC: Possession support staff placed protection at Bamfurlong Jn without permission from the PICOP,Network Rail,"Network Rail, TES2000 Ltd"
SMIS2631181,2021-11-24 03:29:00.000,202109,Luton Up Sidings GF,Railway operating incident,,"OCC - T3 Item 36 possession irregularity for Works Delivery - RRVs were on the incorrect line at Crescent Road, Luton. IRIS 17203",Network Rail,"Network Rail, Other, CrossCountry"
SMIS2631219,2021-11-25 12:45:00.000,202109,Wimbledon LMD (London),Railway operating incident,Scotches not removed,"Near Miss - 25/11/2021 - Wimbledon Depot: Whilst attempting to move unit 701025, it was noted that the wheel scotches were still fitted under no. 8 wheel.",South Western Railway,South Western Railway
SMIS2631221,2021-11-25 23:07:00.000,202109,Southampton Up Goods Loop,Railway operating incident,,DG Paperwork Irregularity -Southampton WD – 4B77,GB Railfreight,"GB Railfreight, South Western Railway"
SMIS453374,2021-11-30 08:34:00.000,202109,Bournemouth West LMD,SPAD and operating incident form,Other: Power Pusher door caught by coach - small dent caused but no damage to coach,"Operating Incident, 30/11/2021, Whilst coach 64257 was being manoeuvred from the preparation bay to the paint booth on Bournemouth Traincare Depot, the staff controlling the move with the “power pusher” failed to ensure the door to the booth was in the fully raised position and was subsequently caught by the coach causing a small dent to the door. No damage was sustained to the unit and there were no injuries to staff. Investigations are ongoing.",South Western Railway,South Western Railway
SMIS453381,2021-12-02 06:06:00.000,202109,Wimbledon LMD (London),SPAD and operating incident form,Other: Shunt Move,"Operating Incident, 02/12/2021, ""During a shunt move on Wimbledon Traincare Depot, 5R05 0525 Wimbledon Depot - Waterloo was believed to have passed W1124 signal on number 1 road at danger. The train was formed of a 10 car 458 set was being driven by a trainee under instruction. The driver had been given permission to proceed to W1135 signal, change ends and to exit the depot via W1124 and W1123 signals. However, on reaching W1135 signal, the train had not pulled close enough to the signal to clear the track circuit to clear W1124 signal. On changing ends, the front of 5R05 was ahead of W1124 signal, the driver saw that W1123 signal was displaying a proceed aspect and proceeded towards the signal without getting permission from the signal to proceed from W1124. Booked units were 458510 & 458528. """,South Western Railway,South Western Railway
SMIS2631418,2021-12-03 09:35:00.000,202109,Camden MDU,Railway operating incident,Other wrongly authorised train movement: As above,"5C10 routed into road 5 at Camden CS vice road 3.",West Midlands Trains,West Midlands Trains
SMIS2631415,2021-12-06 05:38:00.000,202109,Immingham,Railway operating incident,Train door incident,Wagon Door Open – Immingham Hit – 4R61,GB Railfreight,"GB Railfreight, Network Rail"
SMIS2631414,2021-12-06 22:53:00.000,202109,Tees Yard,Railway operating incident,Wrong route set for train,Wrong Route-6F36 (21:11 Boulby-Middlesbrough) at Tees Yard. Route taken.,Network Rail,"Freightliner Group, Network Rail"
SMIS2631450,2021-12-07 20:23:00.000,202109,,Railway operating incident,,Dangerous Goods Incident – Eldersie – 4E69,GB Railfreight,GB Railfreight
SMIS2631498,2021-12-10 12:05:00.000,202109,Norwich Low Level,Railway operating incident,Failed to apply protection,OCC - (Ipswich DU)  a “not to move” board had not been placed on 6J13 (1108 Norwich RFD – Ely Reception) during  possession at Norwich Low Level Goods Yard,Network Rail,Network Rail
SMIS2631588,2021-12-11 00:00:00.000,202109,Etches Park LMD (Derby),Railway operating incident,Other: Incorrect Depot Protection,Incorrect Depot Protection at Etches Park,East Midlands Railway,"East Midlands Railway, East Midlands Railway"
SMIS453395,2021-12-12 20:25:00.000,202110,Wimbledon LMD (London),SPAD and operating incident form,Other: A member of staff hit a gantry platform which then knocked a unit.,"Operating Incident, 12/12/2021, A Depot Protection operative at Wimbledon Traincare Depot hit a gantry platform with a Bradshaw truck and knocked it onto a 455 unit on 7 road. No damage or injuries were reported.",South Western Railway,South Western Railway
SMIS2631554,2021-12-13 23:51:00.000,202110,Trafford Park,Railway operating incident,Train door incident,Container arrived on 3 spigots - 4M46 - Southampton Docks,GB Railfreight,"DB Cargo (UK), GB Railfreight, Network Rail"
