"smis_reference","report_url","event_date","period","place","sub_event","description","narrative","surface_type","surface_material","impeded_by","organisations_involved","injured_workforce_role","injured_workforce_activity","summary_cause","detailed_cause","total_accidental_fwi_2013","injuries_summary_2013"
SMIS3023553,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/09032c2c-0788-46f8-aa6f-3ec2f8613080#!/report,2019-12-29 21:35:00.000,201910,Temple Mills East Jcn,slip trip or fall,PA (Crossrail) - Contractor walking back to the access point at Temple Mills fell over and sustained cut above his left eye and pain to left shoulder. Marsh Gate Lane. 5.4k Down Temple Mills. SCO 45023.,"Cat 3 P2R East - 160187. Whilst walking back to the access at approx. 21:35 hours, the IP fell over and cut above his left eye causing it to bleed. IP also stated he had some pain in his left shoulder. First Aider applied a bandage to the cut above his eye. IP taken to Newham Hospital. IP then refused to wait at the hospital due to a 4 hour wait so got driven home. Update from Keltbray that IP okay, and currently on annual leave. Location: Marsh Gate Lane. 5.4k Down Temple Mills. Injury: Cut above left eye and pain to left shoulder. Lost time: No. Immediate cause -  IP did not identify change in walking route (ballasted track becoming non-ballasted track); with the IP losing balance as his foot went into the gap between sleepers; causing him to fall over landing on his left shoulder and striking his head. Underlying cause - Walking at a brisk pace to RRAP due to time constraints (section proving due to commence) and not paying full attention to the ground conditions Remedial actions - IP to be reminded (due to injuries sustained this will be already embedded within the IP’s mindset) to always remain alert and pay particular attention when walking to and from places of work especially utilising his personal lighting system provided.  If underfoot conditions change; to consider the risk and alter the walking route if safe to do so; using preferred walking routes SFARP. Underlying cause - Unsuitable walking route on the Down Temple Mills 3m 33ch due to gaps between sleepers wide enough for a foot/part of foot to be trapped/slip down due to no ballast infill because of location (Bridge).   Alternative adjacent walking route was in poor condition (old, partially rotten plywood) and was not fit for purpose and needs remedial works to provide a safe alternative walking route. Remedial actions - Network Rail Maintainer has been informed about this fault with the recommendation that it is assessed and improved Underlying cause - This poor walking route and trip hazard at 3m33ch on the Down Temple Mills line is not included in the route hazard directory; and was not identified in the site briefing.   Highlighting the hazard before and during shift would have made people more aware of the need to pay extra attention in this area.   Remedial actions - Keltbray to recommend to Network Rail that they rectify the fault. Project to add this area and particular hazard to their task briefings.",Level,Unknown,,"Keltbray Rail, Network Rail",Infrastructure worker,,"Infrastructure, vehicles, equipment and clothing; Other","Walking at a brisk pace to RRAP due to time constraints (section proving due to commence) and not paying full attention to the ground conditions. Unsuitable walking route on the Down Temple Mills 3m 33ch due to gaps between sleepers wide enough for a foot/part of foot to be trapped/slip down due to no ballast infill because of location (Bridge).   Alternative adjacent walking route was in poor condition (old, partially rotten plywood) and was not fit for purpose and needs remedial works to provide a safe alternative walking route.; Cause not established; Other cause",0.001,Workforce (on-duty): Non-severe
SMIS3023533,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/37222e75-3e6f-48eb-bcbf-6357680bdcdc#!/report,2020-01-05 03:20:00.000,201911,Tilehurst,slip trip or fall,"PA Route Services MOS was walking to site at Tilehurst when his foot went into a hole at the sleeper end where there was some missing ballast. He twisted his knee, causing swelling. [SCO45057]","A Route Services MOS was walking to site at Tilehurst when his foot went into a hole at the sleeper end where there was some missing ballast. He twisted his knee, causing swelling. The accident was reported to the supervisor as he was leaving site, and the supervisor advised him to stay back, but the MOS didn’t and went on to his accommodation as he felt ok. No first aid administered on site. The MOS had previously had surgery on his right knee and it was prone to swelling. Immediate cause - Whilst walking in the 4ft the IP's foot when down a hole in the ballast, which caused him to fall. Underlying cause - Underfoot conditions; the hole in ballast (approximately 10"") was not clearly visible as the IP was walking to the site of work. A personal cap lamp was being worn at the time. Additional site lighting was not in use. Normally linesmen travel in a basket/machine however due to accessing under live OLE, linesmen were walking to site using only cap lamps.  Remedial actions - The IP had been briefed on underfoot conditions (TBS) and had received previous briefings of the importance of accident incident reporting.  When discussing the accident, the IP acknowledged that he did not completely follow procedure, initially reporting the accident to the PIC but then leaving site to return to his hotel accommodation before providing the PIC with further information.  A safety conversation with Safety Manager was had regarding the importance of reporting accidents and incidents (Golden Hour).  The IP provided a photo of site of accident.  Potential for additional site lighting/or bigger cap lamps to be provided when linesmen are required to walk to site. Unsafe act - Linesman fell due to hole in ballast. Was the action deliberate - No. The Linesman fell whilst walking to site during darkness. Informed about procedures - Yes. Briefed on underfoot conditions, current PTS, attended safety hours and safety standdowns previously that covered hazards associated with walking/working on infrastructure. Procedures clear and workable - Yes. Outcome - Slip/Lapse.",Level,Ballast,,Network Rail,Infrastructure worker,,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3023587,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/963b1d66-b197-42bd-a387-9d0ebd316dd9#!/report,2020-01-06 04:25:00.000,201911,Bardon Hill,slip trip or fall,Bardon Hill personal Accident jarred knee,Control 06/01/2020 04:41  04:13 Call from IP to advise of an accident earlier in the shift.  At approx 22:20 he was walking on an unmade road to open the gates to access the sidings at Bardon.  He also advised that sometimes ballast is dragged up from the quarry and is left on this road. He jarred his left knee on this.  The knee was quite painful and he has strapped it up to get through the shift.  The TM assisted him with the ground frame as he found it difficult to move it. Initial Accident Report form completed  Control 06/01/2020 04:49  04;23 FLOC advised. He would not be able to get to Bardon until after @deanwoodward: was due to book off ( 05:15 ).  He requested that IP completes a report and gets photo`s of the area where the accident occurred.  He would look to get a manager that knows the location to visit site during daylight hours  Control 06/01/2020 04:51 04;32 IP updated  Control 06/01/2020 07:39  Report received from IP and forwarded to the relevant Op's managers.,Level,Tactile surfaces,,GB Railfreight,Other: Train Prep,Other duties: Train Prep,Other,Cause not established,0.001,Workforce (on-duty): Non-severe
SMIS3023658,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/22cba19f-58cf-43bb-9ff2-821b4e49b80d#!/report,2020-01-09 11:30:00.000,201911,Ayr,slip trip or fall,STF/Motherwell DU: MOS for Pway fell at Kincaidston access point after wooden steps and hand rail gave way.,"Staff Injury - A member of staff from P/way Irvine was taken to A&E at Ayr Hospital with an injured right arm and shoulder. The injury occurred at the Kincaidston Access steps located on STR1 mileage: 42m 421yds when the wooden railings gave way and the MoS fell through and down the embankment. TSM advised direct and obtained photos of the damaged/rotten access. Off-Track Irvine appraised - FMS 347578 applied. TSM updates member of staff has been released from hospital with aggravated muscles. Off Track were en route to site to repair access. NOC appraised. Immediate cause:- IP put his weight against timber barrier rail at top of an access point which gave way causing Robert to fall down embankment. Underlying cause:- Wooden post at access point was in poor condition having rotten away at anchor end affecting ability to support body-weight. The condition of the post had not been defected at last inspection nor recently ""close called"" by anyone using the access point. Concern that present inspection frequency or quality of existing inspections for wooden access points is not robust enough constrained by existing Off-Track staff workload on Vegetation, Boundary and Close-Call responses time-bound responses. Wooden post had failed despite being within inspection window.  Remedial action:- Off Track Irvine attended immediately and replaced the single rotten wooden spar. All other timber within access point was inspected and deemed in good condition. A new Dedicated access point inspection and repair team to be established at Irvine following new financial year recruitment pool (April) to allow inspection quality to improve. Irvine full team reminded on the importance of good high quality of close calls, hazard spotting and ""take 5"" even on the most simplest of tasks with their work environment.  Underlying cause:- Whilst the handrail should have been strong enough and not in a defected condition, it should not have been used as a full body support. ""handrail"" not ""bodyrail"" Remedial action:- Staff to be briefed accordingly. And as above reminded on ""quality close calls""",Stepped,Timber,,Network Rail,Infrastructure worker,Unknown,"Infrastructure, vehicles, equipment and clothing",fell through rotten timber access steps; Equipment fault; Poor maintenance,0.001,Workforce (on-duty): Non-severe
SMIS3023704,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/0cf0403e-c51f-4464-9a00-c4f93c357a50#!/report,2020-01-12 04:30:00.000,201911,Falmouth Town,slip trip or fall,"PA - a Home Ground Timber MOS gained access by abseiling to clear vegetation, slipped and injured his left elbow at Falmouth Town.","Home Ground Timber staff were working on FAL3 at Falmouth Town Station at 312m 20ch. The IP had gained access by abseiling to clear vegetation when he slipped causing him to spin when he caught his left elbow and back of the head causing bruising.  First aid was not administered but monitored by the team, stayed in digs locally. The IP was able to complete his shift. At the time of the accident he was wearing full PPE. Updates from L1: the IP was using an IRATA rope system to clear vegetation from a sheer cutting face. Rope had been set up and assessed by a level 3 Supervisor. The IP was trying to reach (to his right) an area of uncut vegetation and so was at maximum horizontal reach on anchor line. Due to rock cutting being wet with loose rock and wet vegetation the IP lost his footing and the rope pulled him in an uncontrollable manner back to the centre line - but in the process the IP got rotated 180 degrees and was pulled towards the rock face hitting his left arm hard on rock. No lost time and only elbow injury. Immediate cause - Underfoot conditions were slippery (wet veg, ivy / loose rock) plus operative (IP) was stretching to his right to clear an area of ivy from cutting face. IP's feet slipped and he lost control - rope tension pulled him back to wall/rock whilst being rotated 180 degrees. Underlying cause - Operative (IP) moved line from anchor to go around another stump to get more line to the right to get to a new uncleared area. IP reached and stretched to reach new area but lost footing due to underfoot conditions. As tension on the line was at maximum, the pendulum effect caused IP to swing in an uncontrolled manner. Remedial actions - All staff/operatives re-briefed on safe method of working when suspended from anchor line on vertical structures. Action for individual - To talk to all staff/operatives and re-brief on safe method of working when suspended from anchor line on vertical structures. Action for manager - To talk to all staff/operatives and re-brief on safe method of working when suspended from anchor line on vertical structures. No further investigation required.",Sloped,Other: friable rock,,Network Rail,Other: operative,Other duties: vegetation clearance,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3024236,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/d646a5eb-6645-43b9-a039-54407387eea4#!/report,2020-01-13 11:15:00.000,201911,Gypsy Lane,slip trip or fall,"PA - a Alun Griffiths MOS injured his ankle when he stepped off access point of scaffold, onto the tarmac floor, Gipsy Patch Bridge. (SCO 45358) IP-W&W","Late report (31/01/20). (SCO 45358) IP-W&W During construction of bridge the IP (a Alun Griffiths MOS) stepped off access point of scaffold, onto the tarmac floor, rolling his ankle in the process. Gipsy Patch Bridge BSW 5m60c. The IP was checked over by First Aider, rested for the rest of shift and was back to work the next day. No lost time. Project: 139886 Immediate cause - Stepped off Peri Access stair onto tarmac slabbed area, small void with type one infill before joining tarmac which had an chamfered edge. Underlying cause - Uneven surface at foot of step.  Similar issues have been highlighted on site previously (around the haccy steps when they’ve been put in various locations) following similar incidents reported on Balfour Beatty Sites.  The scaffold steps themselves hadn’t been focused on during any site inspections as they are bespoke and over a tarmac base, where you wouldn't expect to find the gap (missed).  Frequent users could have noticed and close called. Remedial action - Small infill step built to address the gap from the Peri step to the tarmac area. Learning brief outlining accident (inc. historical info from other contractors) to raise workforce awareness.  Also a reminder of close call requirements/expectations to improve overall site safety. No further investigation required",,,,"Network Rail, Other, CrossCountry",Other: unknown,Other duties: stepped off access point of scaffold,Error or violation; Other,Cause not established; Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS3023762,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/0038224d-8817-49a2-a57d-f6ce946212c4#!/report,2020-01-13 16:20:00.000,201911,Dallam,slip trip or fall,"PA - Operative slipped on one of three wooden steps leading to a pedestrian pavement while egressing at Hawley Lane access point, Dallam and jarred knee SCO 45132  IP Central","VolkerRail Electrical Supervisor reported that an operative had slipped on one of three wooden steps leading to a pedestrian pavement while egressing at Hawley Lane access point, Warrington. The operative jarred his right knee. He was lodging locally and would monitor overnight.",Stepped,Timber,,"Network Rail, VolkerRail",Infrastructure worker,,Other,Cause not established,0.001,Workforce (on-duty): Non-severe
SMIS3023824,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/af8f88f4-3562-42fe-83da-d6a15d76ccfb#!/report,2020-01-18 05:20:00.000,201911,Port Talbot LC,slip trip or fall,PA. OM South Signaller slipped on stairs at Port Talbot PSB,"Port Talbot signaller slipped on the first landing of the signalbox external staircase and twisted his left knee. Non-slip paint had worn off, and conditions were freezing. Level 1 report: Signaller slipped on first landing of signalbox external staircase, and twisted his left knee. Immediate cause: Ice formed on the surface of the first landing Underlying cause: No d-icing salt applied to surface   Remedial action: Staff reminded to use d-icing equipment supplied. salt applied to area. MOM checking walkways and stairs and supply of d-icing salts.  Underlying cause: Anti slip paint worn away. Remedial action: New anti-slip covering applied to stairs and landing.  Ice warning signs fitted.",,,,Network Rail,Signaller,,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3023820,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/c451b98b-c3b5-42ce-98b4-d30075a5d0f4#!/report,2020-01-19 03:00:00.000,201911,Hadley Wood,slip trip or fall,PA - Senior Technician Pway (DU Peterborough) slipped on the ballast/sleeper adge and cut his right elbow at Hadley Wood,"At 03.00 during a rail change the Senior Technician Pway (IP) was waiting for the weld to cool down when he stepped back and slipped on the ballast/sleeper edge (due to icy conditions).  The IP hit his right elbow, but did not notice that it was cut until he returned to the yard and another team member spotted the bleeding. IP had closer look and noticed he had actual cut his elbow and went to minor injury hospital where he revived stitches for the cut (5 stitches in total) he planned to return on his next turn 21st Jan 2020.  IP returned to work on his next rostered shift and completed a full week of rostered shifts, subsequently the cut became badly infected.  The IP was admitted to hospital for 2 days to receive treatment and returned to work 05/02/2020 Immediate cause: The IP stepped back without looking at the underfoot conditions behind him causing him to fall onto a ballasted surface. Underlying cause: The work was being undertaken at night and the area was an uneven frozen ballasted area Remedial actions: The Team was experienced and are aware of the Risk Control Sheet underfoot conditions GH02, but they should have used the Take 5 practice whilst on site to Identify potential hazards, risks and changes to the environment. No further investigation required.",,Ballast,,Network Rail,Infrastructure worker,,The person's environment,Surface condition,0.01,Workforce (on-duty): Severe 7
SMIS3023833,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/27a0ae3d-5a0e-430d-a4bb-1f70a0d16686#!/report,2020-01-19 03:30:00.000,201911,St Germans,slip trip or fall,"PA - a Works DU MOS slipped on ice and fell from platf onto the track, landing badly on the rail with his left hip, St Germans stn.","Whilst walking along the platform at St Germans station, the injured person slipped on ice and fell into the track, landed badly on the rail with his left hip. Paramedics were called and had assessed his injuries in their vehicle. Paramedics administered first aid on site. The IP had been driven home. Updates from management emails: a member of the team slipped on a platform on black ice and fell into the 4ft Cess on the track. Fortunately there were no train movements and the injured person had only suffered physical bruising. An update to be sent when we know how the injured person was recovering. L1 updates:  Immediate cause - Injured person slipped on black ice , on the platform, which had formed over night as the temperature dropped. Underlying cause - The platforms had not been gritted and the temperature drop was sudden. Remedial actions - Consider weather conditions for working at a location and if grit is available at stations to use when working in freezing weather - or some needs to be taken to site.  Action for individual - none. Action for manager - Consider planning risk of using grit at locations where teams are working - and if in a station ascertain if grit available - as this also had impacts on members of public, as well as work force. Lost time accident.",Level,Concrete,,Network Rail,Controller of site safety (COSS),Preparation for duties,The person's environment,Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3023823,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/977dd4f4-63c5-4c06-9762-8febe6e0950b#!/report,2020-01-19 06:02:00.000,201911,Winsford,slip trip or fall,PA - Member of DU staff sustained bruising to their left shoulder and leg after slipping on ice covered steps at  Winsford.,"Member of Liverpool DU staff was entering the well care facility at Winsford and whilst climbing the steps, which were covered in ice,  they slipped and fell injuring their left shoulder and leg. The member of staff was attending the hospital to be checked over. An update provided by the supervisor advised that the member of staff had attended hospital and reported slight bruising with no long term injuries. They had been advised to take ibuprofen and keep the injury moving. No further absence from work expected. The member of staff later reported that the pain had eased and he would be fit for work on his next rostered shift. Immediate cause: The IP was trying to gain access to an outdoor welfare facility to use the toilet when they slipped on ice on the step. The outdoor light was not working and was recently close called by the IP in the last 2 weeks. The IP parked his own vehicle so that the vehicle headlights lit up the step to the welfare facility. The IP did not use any Grit or any other form of lighting which both where available at the time (headtorch & hand torch) of the incident. Underlying cause: Ice and Foggy conditions , poor visibility,poor lighting,IP not adhering to recent team briefs concerning winter condition's, and not wearing or carrying a torch. Remedial actions: Re-brief the IP on winter condition's and take 5 for safety and be aware of their surroundings when on or near the infrastructure. Underlying cause: Ice, Fog , lack of correct lighting, IPs lack of concentration regarding his surroundings and not using lighting provided by NWR. Remedial actions: Follow up on the close call regarding the lighting , Re-brief on winter preparedness and taking 5 for safety",Stepped,Metal,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,Error or violation; Other; The person's environment,IP did not use personal lighting (head torch & hand torch) provided by NWR; Darkness; Fog or mist; Other cause; Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3023856,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/9572ec56-1154-4cda-a4b4-4afb9959ca70#!/report,2020-01-19 14:00:00.000,201911,Carlisle,slip trip or fall,PA - Lancs & Cumbria DU - Member of staff tripped over a sleeper at Carlisle South Junction and bruised left knee.,Member of staff reported while carrying out an SO53 inspection on Sunday morning at Carlisle South Jn they tripped over a sleeper and landed on their left knee which has bruised. They did not attend hospital and are back in work so its not a golden hour incident. Immediate cause: IP fell while walking on frosty timber bearers Underlying cause: It was not possible to walk on ballast at that point due to the presence of stretcher bars in that location. Conditions underfoot were hazardous due to freezing temperatures and frost forming on timber bearers. Remedial cause: SM(T) to speak with IP to make sure they understand the importance of being aware of their surroundings and any associated risks. SM(T) to speak with PiC involved to ensure site risk is managed correctly,Level,Ballast,,Network Rail,Other: Authorised person,,Error or violation; The person's environment,Failing to see or notice hazard; Surface condition,0.001,Workforce (on-duty): Non-severe
SMIS3023854,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/b655e51d-7f83-41ed-8e66-b001f8a06233#!/report,2020-01-20 05:34:00.000,201911,Hullavington,slip trip or fall,PA S&T MOS slipped on a troughing lid whilst walking from the access point at Hullavington and sustained a fractured ankle,"At 0730, it was reported that a member of S&T staff had sustained an injury at Hullavington. The member of staff was walking from the access point to attend to the failure of No.8670A points when they slipped on a troughing lid and injured their ankle. An ambulance was on site by 0803 and services were diverted via Box Tunnel to allow paramedic staff to access the injured person who was approximately ½ a mile from the access point. The injured person was taken on board 1L07, Great Western Railway, (0713 Cardiff Central – London Paddington) to Hullavington Yard to an awaiting ambulance and then to hospital for assessment of a suspected broken ankle.  The troughing lid had not been correctly closed. The injury confirmed as a fracture of the ankle in three places requiring surgery. Immediate cause - The IP slipped while walking on Icy ballast to attend a fault and as they placed their foot on a troughing lid to steady themselves it collapsed as it was not seated correctly. This in turn caused the IP to turn ankle badly with their full weight.   Underlying cause - The weather was cold and icy walking to a points fault which led to the turning of the ankle. The troughing lid was not seated correctly either which caused the IP to place their full weight onto the ankle at a bad angle causing a triple fracture.  Remedial action - Take 5 briefed before any work commences. Before, during and after any task.  Underfoot conditions with ice on the ballast will be briefed out at the next safety brief.  Ensure that if there is a close call on the infrastructure then it is reported and rectified on site if possible.  No further investigation required.",Level,Concrete,,Network Rail,Infrastructure worker,Duties to maintain track or infrastructure,The person's environment,Surface condition,0.125,Workforce (on-duty): Specified
SMIS3024330,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/045cb218-3f34-43e4-8078-5ab1c0bd71ab#!/report,2020-01-20 23:30:00.000,201911,Chester,slip trip or fall,Minor Chester DVR stumbled on ballast,"Employee was shunting a 6 car class 175 train out into the down warrington line where he had to then change ends by leaving the train and walking in the cess to the other end. As he approached the other end within evacuation of CF528 ground position light, he stumbled on the ballast in what he believes was a dip in the ballast. jarring his back and suffering pain in his left lumbar region, but no pain since. DVR was not using his lamp and it was dark",,,,"Network Rail, Transport for Wales Rail",Train driver,,Error or violation,Didn't use his flashlight; Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS3023906,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/5d5038a6-520b-463f-9784-7c43c0b3db6c#!/report,2020-01-21 12:30:00.000,201911,Dorking,slip trip or fall,PA - Brighton DU MOS slipped on the edge of an icy sleeper at Dorking and jarred his back.,At 14:30 the IP was walking along and slipped on the edge of a icy sleeper near set of adjustment switches 21m 73ch bth3 1100 up road in cess. The IP stated he had jarred his back. And made his way back to the van to rest. And shortly after went home to rest. The On Call manager advised at 17:17 that the IP does expect to be working tomorrow but had gone home to rest and had turned off his phone so unable to be contacted. He will update SRCC when had spoken with the IP. 24hr update: IP's line manager had spoken him last night. They suffer with ANKYLOSING SPNDYLITIS which had enflamed. They attended hospital to have one of their steroid injections and was told to rest for a couple days. They were in good spirits and was accustomed due to their condition.,,Ballast,,Network Rail,Infrastructure worker,,Other,Cause not established,0.001,Workforce (on-duty): Non-severe
SMIS3024089,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/563c297a-5594-4338-87dd-3f70ca3afbd1#!/report,2020-01-22 10:20:00.000,201911,Edinburgh Waverley,slip trip or fall,PA - Edinburgh DU - IP tripped over a trolley at Edinburgh South Gyle Depot resulting in minor injury to right leg and ankle.,"Two administration staff (Office workers)  based at  Edinburgh South Gyle depot were unloading vehicle screen-wash from a pallet/trolley at Edinburgh South Gyle depot stores area. The pallet/trolley of vehicle screen-wash was being unloaded directly into the  Edinburgh Park sections team cage.  Whilst carrying out this task, one of the administration members of staff inadvertently moved the trolley slightly to turn around to continue the unloading; resulting in the other administration staff member tripping over the trolley and falling to the ground, breaking her fall with her right hand/forearm and sustaining injury to right leg and ankle after striking trolley on the way down. Both Members of Staff (MOS) were carrying out this work activity in an area (Stores) demarcated for Hi-Visibility clothing and safety footwear. At the time of carrying out this task  both MOS were not wearing any of the required PPE for this specific area. However, there was signage around the stores area to highlight the PPE requirements. Immediate cause - Tripped over the pallet trolley and landed on the concrete floor. Underlying cause -  1, The stock was being moved to prevent further theft of materials from the stores. No dedicated staff or process for receiving goods and storing in the correct cage. No signs stating PPE to be worn in the stores area.  2, Not wearing appropriate PPE in demarcated area for work task 3, Moving  hydraulic trolley/pallet without receiving or having tool box  Remedial actions -  1, A dedicated member(s) of staff appointed for the receipt and distribution of stock materials to the appropriate cages. 2, Signage to be erected to advise onthe correct PPE required when entering the stores. 3, Toolbox Talk/Training required for all staff required to use the hydraulic pallet trolley.",Level,Concrete,,Network Rail,Other: Admin,,Competence management; Error or violation; Other,Tripped over a trolley; Not trained in use of equipment; Not using available Personal Protective Equipment (PPE); Other cause,0.001,Workforce (on-duty): Non-severe
SMIS3023939,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/d8a8347a-6c27-470a-bfb0-3bbcce78e4f6#!/report,2020-01-22 11:00:00.000,201911,Glasgow High Street,slip trip or fall,PA - Glasgow DU - IP injured ankle whilst walking on the track at Glasgow High Street.,"P/Way track inspection Glasgow Central member of staff had a personal accident. Located High St on up and down city union line at 1100 today ELR:HST between 1m 1650yds and 2m 440yds..  Whilst walking on track the IP went over a piece of ballast and hurt ankle. No hospital treatment given just resting in Depot. TSM Glasgow Central  The cyclic track patrol of HST had been completed and the IP was walking back towards the egress point at Shields Road Bridge to return to the vehicle. IP was walking on the ballast in between the concrete sleepers and stood on loose ballast causing his ankle to give way when he planted his foot.  IP was wearing full PPE with the correct model of safety boot for the activity he was undertaking. The high ankle boots and tread were in a good condition and were laced up correctly providing sufficient support with the laces correctly tensioned with even distribution throughout. The IP states he has no history of ankle issues so there is no presence of historic muscle fatigue that could have contributed to the incident. The IP states that there was no material or debris present at the site of the incident and that the ballast in the cribs was level with the top of the sleepers. Go Pro footage of the area from a recent cab ride was reviewed with the IP who confirmed that the conditions were identical to that found on the footage. An image of the location will be submitted with this report. Ground conditions were reported as wet from previous rain having not dried out. No first aid was required or administered on site and the incident was reported to the Section Manager when he returned to the depot. A report was submitted to Control when he returned. The COSS did not witness the accident as he was not looking directly at the IP when it occurred. There was no time pressure for the IP to egress from track as the line block his COSS was signed into was on all day. The IP was not fatigued from a long patrolling inspection - His walk was a total of c.2.25 miles from Shields Jn to 1mp boundary with Glasgow North at the River Clyde and back so walking approximately an hour. Immediate cause - The specific section of ballast which the IP planted their foot on gave way causing IP to lose balance and go over their ankle (right)   Underlying cause - Despite being consolidated within the sleeper cribs the natural construction of ballast is uneven and loose Remedial actions - Re-briefed on ""take 5"" and ""think risk"" including situational awareness",,Ballast,,Network Rail,Infrastructure worker,,Other; The person's environment,The specific section of ballast which the IP planted their foot on gave way causing IP to lose balance.; Other cause,0.01,Workforce (on-duty): Severe 7
SMIS3024010,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6064386d-8ce7-4037-8359-82bc51c80cbc#!/report,2020-01-23 09:30:00.000,201911,Woodhouse,slip trip or fall,"PA-Signaller at Woodhouse lost grip when pulling points and fell and hurt their left side, back, arm and side and banged head.","At 09:30 the signaller at Woodhouse reported that when pulling No. 35 points they lost their grip and fell hurting their left hand side, back, arm and side and banged their head. The signaller was not ok to continue with their duties that day. The injured party (IP) was ok to drive themselves home. There was no head injury but there was bruising and grazes to the signaller's arm, back and side.",,,,Network Rail,Signaller,Signalling trains,Other,Other cause,0.001,Workforce (on-duty): Non-severe
SMIS3024036,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/697dde1c-6013-4baf-bd14-605e2ec02dc8#!/report,2020-01-24 08:50:00.000,201911,Lewisham (Blackheath Line),slip trip or fall,"PA DU London Bridge - IP slipped and fell whilst carrying cable, fracturing his finger at Lewisham","IP was accessing a gate carrying a cable when he slipped and banged his hand.  He was fine to continue throughout the remainder of his night shift.  However the pain worsened during the day.  He attended hospital in the evening, then reported to management that he had fractured his finger.",,,,Network Rail,Infrastructure worker,,Error or violation,Tripping over own feet,0.001,Workforce (on-duty): Non-severe
SMIS3024096,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/cb2088da-5c3a-414d-b6b1-d63c157e7a06#!/report,2020-01-26 03:30:00.000,201911,Kettering,slip trip or fall,PA - IP Central Contractor tripped over in the cess at Kettering and injured a finger. He was distracted by another person. SCO 45307,"The Injured Person (IP), a Contractor Engineer working for IP Central at Kettering (Weetabix factory site), was walking back to his vehicle when he noticed someone and tripped over in the cess. He injured his finger (no details of which finger on which hand). The IP spoke to his supervisor and then drove himself to hospital. There was no broken bones, it was just sore. The person that was seen was the carpark attendant. No lost time was anticipated.",,,,"Network Rail, Other, CrossCountry",Infrastructure worker,,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
SMIS3024075,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/486f1c91-cdba-4fb8-bf1c-209fdb77ea74#!/report,2020-01-26 03:37:00.000,201911,Frome,slip trip or fall,PA Ganymede MOS tripped on scrap rail in the 4ft whilst placing marker boards at Frome and cut his nose and left elbow,"A Ganymede MOS, working on behalf of NR Works Delivery, was placing out marker boards for protection at 115m 10ch on the WEY when he tripped on scrap rail in the 4ft, causing him to cut his nose and left elbow. First aid was given on site. Once the boards were in place he returned to the van.  At the time of the accident he was wearing full PPE. No lost time. Updates from L1: Immediate cause - the MOS was looking at a piece of paper with the marker boards locations on to ensure they were put out in the correct place. It was during the night so was dark and the MOS tripped on scrap rail in the 4ft. He was wearing full PPE at the time.  Underlying cause - Dark and wet conditionals.  Was wearing a head lamp- but could have had a lamp to assist with lighting. Remedial actions - Take extra care when working at night. Use a hand lamp if no other site lighting, apart from head lamp. Rail in 4 foot should be noted on task briefing when walking around site.  Action for individual - To carry a hand lamp to assist with improved lighting if walking to a location which was not lit by site lighting. Action for manager - as above. No further investigation required.",Level,Ballast,,"Ganymede Solutions Ltd, Network Rail",Possession support staff,,Error or violation,Failing to see or notice hazard,0.001,Workforce (on-duty): Non-severe
