"smis_reference","event_date","period","place","report_title","sub_event","personal_accident_type","fwi_2013"
SMIS4310395,2021-08-21 00:00:00.000,202105,East Ham LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4333745,2021-08-21 00:10:00.000,202105,Bournemouth West LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4323777,2021-08-22 20:00:00.000,202106,Selhurst Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4323784,2021-08-23 05:00:00.000,202106,Stewarts Lane LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310510,2021-08-23 12:00:00.000,202106,Clacton LMD,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4310504,2021-08-23 12:30:00.000,202106,Ilford LMD (London),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310339,2021-08-23 13:30:00.000,202106,Newton Heath LMD (Manchester),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4310394,2021-08-24 10:00:00.000,202106,Etches Park LMD (Derby),Personal accident form,person interaction,Interaction with road vehicle,0.001
SMIS4333557,2021-08-24 10:30:00.000,202106,Bournemouth West LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310447,2021-08-24 10:40:00.000,202106,Heaton LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4310448,2021-08-24 22:30:00.000,202106,Heaton LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310481,2021-08-25 08:30:00.000,202106,Salisbury LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310486,2021-08-25 10:00:00.000,202106,Clapham Junction LMD (London),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310638,2021-08-26 09:00:00.000,202106,Newton Heath LMD (Manchester),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311380,2021-08-26 09:58:00.000,202106,Barrow MDU,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4310530,2021-08-26 11:00:00.000,202106,Cardiff Canton LMD,Personal accident form,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS4310640,2021-08-26 13:30:00.000,202106,Neville Hill LMD (Ns) Northern Rail,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310526,2021-08-26 13:30:00.000,202106,Cardiff Canton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310643,2021-08-26 14:00:00.000,202106,Newton Heath LMD (Manchester),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4310541,2021-08-26 21:15:00.000,202106,Bristol St Philips Marsh LMD,Personal accident form,person interaction,Interaction with an animal,0.001
SMIS4310735,2021-08-26 23:50:00.000,202106,Carmarthen MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310743,2021-08-27 00:00:00.000,202106,Crown Point LMD (Norwich),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310593,2021-08-27 01:15:00.000,202106,Shoeburyness CSD,Personal accident form,assault and abuse,Assault or abuse,0.001
SMIS4313950,2021-08-28 00:00:00.000,202106,Woking Up Yard,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310782,2021-08-28 14:15:00.000,202106,Neville Hill LMD (Ns) Northern Rail,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310810,2021-08-29 01:20:00.000,202106,Kirkdale TCS (LMD) (Liverpool),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310568,2021-08-29 21:30:00.000,202106,Machynlleth Main Shed MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310713,2021-08-31 00:00:00.000,202106,Whitemoor Yard,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4310786,2021-08-31 02:30:00.000,202106,East Ham LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310888,2021-08-31 07:22:00.000,202106,East Ham LMD (London),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4316384,2021-08-31 11:30:00.000,202106,Selhurst Depot,Personal accident form,awkward body movement,Awkward body movement,0.01
SMIS4310742,2021-08-31 13:10:00.000,202106,Farnham LMD,Personal accident form,person exposed to a hazardous condition,Hazardous condition,0.001
SMIS4333271,2021-08-31 13:10:00.000,202106,Farnham LMD,Personal accident form,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS4310706,2021-09-01 09:41:00.000,202106,Coldhams Lane LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4310836,2021-09-02 15:46:00.000,202106,Banbury MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4310865,2021-09-02 22:00:00.000,202106,Ilford LMD (London),Personal accident form,slip trip or fall,"Slip, trip, fall",0.125
SMIS4310989,2021-09-02 23:10:00.000,202106,Shields ET Depot,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4311104,2021-09-03 21:35:00.000,202106,Norwich Victoria Sidings,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4310965,2021-09-05 16:00:00.000,202106,Exeter Olds View Depot MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4333257,2021-09-05 21:45:00.000,202106,Bournemouth West LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311416,2021-09-06 00:00:00.000,202106,Stafford - Brunswick Terrace MDU,Personal accident form,person interaction,Interaction with person,0.001
SMIS4311193,2021-09-06 02:30:00.000,202106,Eastcroft LMD (Nottingham),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311016,2021-09-06 11:05:00.000,202106,Shoeburyness CSD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311014,2021-09-06 12:24:00.000,202106,Network Rail RIDC Melton,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311195,2021-09-06 23:00:00.000,202106,Etches Park LMD (Derby),Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4311097,2021-09-07 03:01:00.000,202106,,Personal accident form,other event resulting in injury fatality,,0.001
SMIS4311121,2021-09-07 06:51:00.000,202106,Old Oak Common LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311151,2021-09-07 22:15:00.000,202106,"Scunthorpe Trent, Redbourn & Staff Buildings",Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4311153,2021-09-08 08:40:00.000,202106,Didcot Tmd,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4323245,2021-09-09 00:00:00.000,202106,Allerton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313646,2021-09-09 22:00:00.000,202106,Allerton LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311702,2021-09-10 00:00:00.000,202106,Colas Depot Rugby,Personal accident form,other event resulting in injury fatality,,0.01
SMIS4311327,2021-09-10 01:00:00.000,202106,Acton Yard,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS4311216,2021-09-10 03:30:00.000,202106,Crown Point LMD (Norwich),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311281,2021-09-10 11:22:00.000,202106,Colas Depot Rugby,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311249,2021-09-10 19:17:00.000,202106,Ashford New Town LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311329,2021-09-10 21:25:00.000,202106,Acton,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312701,2021-09-10 22:45:00.000,202106,Shoeburyness CSD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311388,2021-09-11 23:30:00.000,202106,Reading Traincare Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311390,2021-09-12 01:51:00.000,202106,Exeter Olds View Depot MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311298,2021-09-12 22:45:00.000,202106,Allerton LMD,Personal accident form,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS4311356,2021-09-13 08:00:00.000,202106,Hither Green,Personal accident form,slip trip or fall; person interaction,"Slip, trip, fall",0.001
SMIS4311356,2021-09-13 08:00:00.000,202106,Hither Green,Personal accident form,slip trip or fall; person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311351,2021-09-13 15:43:00.000,202106,Inverness LMD,Personal accident form,person interaction,,0.001
SMIS4323908,2021-09-13 22:15:00.000,202106,Lovers Walk TMD,Personal accident form,other event resulting in injury fatality,,0.001
SMIS1711244,2021-09-14 08:00:00.000,202106,Junction near Doncaster Depot,"Non-rail vehicle colliding with animal, object or another road vehicle",non rail vehicle collision,,0.001
SMIS4311423,2021-09-14 11:45:00.000,202106,Eastleigh Arlington Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311973,2021-09-15 10:00:00.000,202106,Neville Hill LMD (Ns) Northern Rail,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311584,2021-09-15 10:15:00.000,202106,Barrow MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4315512,2021-09-16 00:30:00.000,202106,Eastcroft LMD (Nottingham),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311886,2021-09-16 05:50:00.000,202106,Farnham LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311543,2021-09-16 12:15:00.000,202106,Eastfield TMD (Glasgow),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311562,2021-09-16 18:56:00.000,202106,Peterborough Tcd,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312704,2021-09-16 22:00:00.000,202106,Shoeburyness CSD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4333250,2021-09-17 21:15:00.000,202106,Wimbledon LMD (London),Personal accident form,awkward body movement; person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4333250,2021-09-17 21:15:00.000,202106,Wimbledon LMD (London),Personal accident form,awkward body movement; person interaction,Awkward body movement,0.001
SMIS4311687,2021-09-18 01:15:00.000,202106,Allerton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311652,2021-09-18 23:50:00.000,202106,Romford CE Sidings,Personal accident form,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS4311820,2021-09-19 00:30:00.000,202107,Doncaster Marshgate Depot,Personal accident form,person interaction,,0.001
SMIS4311711,2021-09-19 04:56:00.000,202107,Cardiff Canton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311862,2021-09-19 11:00:00.000,202107,Neville Hill LMD (Ns) Northern Rail,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312345,2021-09-19 23:45:00.000,202107,Farnham LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311967,2021-09-20 08:25:00.000,202107,Ilford LMD (London),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4311898,2021-09-21 05:00:00.000,202107,Grove Park LMD (London),Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4311845,2021-09-21 08:45:00.000,202107,Salisbury LMD,Personal accident form,awkward body movement,Awkward body movement,0.01
SMIS4311931,2021-09-21 09:30:00.000,202107,Neville Hill LMD (Ns) Northern Rail,Personal accident form,person interaction,Interaction with train,0.001
SMIS4312056,2021-09-21 11:17:00.000,202107,Tyseley LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4324409,2021-09-21 14:00:00.000,202107,Selhurst Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4311838,2021-09-21 19:14:00.000,202107,"Bescot Tcd, Dn & Up Yards",Personal accident form,other event resulting in injury fatality,,0.001
SMIS4311913,2021-09-22 01:30:00.000,202107,Mossend,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4311948,2021-09-22 22:49:00.000,202107,Farnham LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4333216,2021-09-22 22:49:00.000,202107,Farnham LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4316294,2021-09-24 09:21:00.000,202107,Three Bridges MDU,Personal accident form,person exposed to a hazardous substance; person interaction,Hazardous susbstance,0.001
SMIS4316294,2021-09-24 09:21:00.000,202107,Three Bridges MDU,Personal accident form,person exposed to a hazardous substance; person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312090,2021-09-24 11:40:00.000,202107,Etches Park LMD (Derby),Personal accident form,person interaction,,0.001
SMIS4312151,2021-09-24 13:00:00.000,202107,Ilford LMD (London),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4315935,2021-09-25 17:35:00.000,202107,Gillingham (Kent) MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312262,2021-09-28 05:32:00.000,202107,Plymouth (Laira) Diesel LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312330,2021-09-28 10:35:00.000,202107,Ashford depot (carriage sidings),Personal accident form,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS4315708,2021-09-28 11:30:00.000,202107,Three Bridges MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312361,2021-09-29 03:45:00.000,202107,Haymarket LMD (Edinburgh),Personal accident form,slip trip or fall,"Slip, trip, fall",0.125
SMIS4312928,2021-09-29 12:30:00.000,202107,Derby RTC Yard,Personal accident form,person interaction,Interaction with train,0.01
SMIS4312744,2021-09-30 11:40:00.000,202107,Canton Buildings MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312453,2021-10-01 13:10:00.000,202107,London Bridge Rear Sb MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312891,2021-10-01 23:00:00.000,202107,Stourbridge Junction Sidings,Personal accident form,person interaction,Interaction with an animal,0.001
SMIS4312483,2021-10-02 01:00:00.000,202107,Shoeburyness CSD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312531,2021-10-02 17:45:00.000,202107,Yoker Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312638,2021-10-03 00:15:00.000,202107,Yoker Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4315085,2021-10-04 10:30:00.000,202107,Singlewell IMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312694,2021-10-04 14:30:00.000,202107,Axiom Stoke Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312594,2021-10-04 19:15:00.000,202107,Millerhill,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4329618,2021-10-05 14:00:00.000,202107,Selhurst Depot,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4312693,2021-10-05 23:30:00.000,202107,Ilford LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313456,2021-10-06 00:00:00.000,202107,Heaton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312727,2021-10-06 01:32:00.000,202107,Penzance (Long Rock) LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312809,2021-10-06 10:45:00.000,202107,Wimbledon LMD (London),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4312848,2021-10-06 12:00:00.000,202107,Axiom Stoke Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313231,2021-10-06 23:00:00.000,202107,Corkerhill LMD (Glasgow),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4312942,2021-10-07 04:45:00.000,202107,Ardwick Train Maintenance Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4312830,2021-10-07 08:43:00.000,202107,Newbury MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313002,2021-10-08 10:18:00.000,202107,Romford MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313129,2021-10-10 07:00:00.000,202107,Swindon MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313080,2021-10-10 21:51:00.000,202107,Bristol St Philips Marsh LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313098,2021-10-11 11:00:00.000,202107,Shields ET Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313076,2021-10-11 14:45:00.000,202107,Etches Park LMD (Derby),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313090,2021-10-11 16:20:00.000,202107,Kirkdale TCS (LMD) (Liverpool),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313227,2021-10-11 23:30:00.000,202107,Shields ET Depot,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313152,2021-10-12 00:00:00.000,202107,Neville Hill LMD East Midlands Trains,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313685,2021-10-12 00:00:00.000,202107,Tyseley LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.125
SMIS4313123,2021-10-12 13:30:00.000,202107,Salisbury LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313131,2021-10-12 21:02:00.000,202107,Wimbledon LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4315223,2021-10-12 23:00:00.000,202107,Clayhills LMD (Aberdeen),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313313,2021-10-13 09:02:00.000,202107,Shoeburyness CSD,Personal accident form,other event resulting in injury fatality,,0.001
SMIS4313173,2021-10-13 12:25:00.000,202107,Dumfries MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313209,2021-10-13 13:40:00.000,202107,Aylesbury LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313208,2021-10-13 14:05:00.000,202107,Eastleigh Long Welded Rail Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313179,2021-10-13 19:31:00.000,202107,Wimbledon S&T Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313381,2021-10-13 21:30:00.000,202107,Heaton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313174,2021-10-13 23:10:00.000,202107,Blackburn - Islington Road MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.01
SMIS4313246,2021-10-14 11:50:00.000,202107,Northampton Bridge St MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313250,2021-10-14 17:00:00.000,202107,Perth MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313396,2021-10-14 22:23:00.000,202107,Hinksey Yard,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4313427,2021-10-16 10:15:00.000,202107,Wigan Nw MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313416,2021-10-16 12:30:00.000,202107,Exeter Olds View Depot MDU,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4313480,2021-10-17 02:00:00.000,202108,Skipton MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313474,2021-10-17 07:00:00.000,202108,Newton Heath LMD (Manchester),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4315694,2021-10-18 05:30:00.000,202108,,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314390,2021-10-18 09:28:00.000,202108,Stewarts Lane LMD (London),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313434,2021-10-18 10:30:00.000,202108,Bedford Grain Warehouse MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313532,2021-10-18 14:34:00.000,202108,Shields ET Depot,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313593,2021-10-19 01:00:00.000,202108,Ramsgate Train Maintenance Depot,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313970,2021-10-19 19:38:00.000,202108,Eastcroft LMD (Nottingham),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4313625,2021-10-19 23:30:00.000,202108,Tees Yard,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313749,2021-10-20 00:30:00.000,202108,Sudbury Dock,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4313623,2021-10-20 09:25:00.000,202108,Milford West & Down Sidings,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4313633,2021-10-20 10:30:00.000,202108,Heaton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313642,2021-10-20 21:59:00.000,202108,Bletchley LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314631,2021-10-21 19:30:00.000,202108,Selhurst Depot,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314231,2021-10-22 15:35:00.000,202108,Whatley Yard,Personal accident form,person exposed to a hazardous condition,Hazardous condition,0.001
SMIS4313809,2021-10-22 15:49:00.000,202108,Freightliner Felixstowe,Personal accident form,other event resulting in injury fatality,,0.001
SMIS4314878,2021-10-22 19:15:00.000,202108,Hornsey LMD,Personal accident form,slip trip or fall; person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314878,2021-10-22 19:15:00.000,202108,Hornsey LMD,Personal accident form,slip trip or fall; person interaction,"Slip, trip, fall",0.001
SMIS4313784,2021-10-24 02:08:00.000,202108,Orpington Portacabins Cp MDU,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4313894,2021-10-24 20:40:00.000,202108,Salisbury LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314256,2021-10-25 00:00:00.000,202108,Neville Hill LMD (Ns) Northern Rail,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4313936,2021-10-25 11:45:00.000,202108,Eastleigh Long Welded Rail Depot,Personal accident form,slip trip or fall; person interaction,"Slip, trip, fall",0.001
SMIS4313936,2021-10-25 11:45:00.000,202108,Eastleigh Long Welded Rail Depot,Personal accident form,slip trip or fall; person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314105,2021-10-27 14:00:00.000,202108,Crown Point LMD (Norwich),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314293,2021-10-27 17:45:00.000,202108,Haymarket LMD (Edinburgh),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314178,2021-10-28 11:30:00.000,202108,Clacton LMD,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314307,2021-10-28 14:22:00.000,202108,Didcot Tmd,Personal accident form,awkward body movement,Awkward body movement,0.01
SMIS4314296,2021-10-28 14:44:00.000,202108,Penzance (Long Rock) LMD,Personal accident form,electric shock; person interaction,Electric shock,0.001
SMIS4314138,2021-10-28 17:30:00.000,202108,Rugby Sidings,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314328,2021-10-29 11:30:00.000,202108,Neville Hill LMD (Ns) Northern Rail,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314359,2021-10-29 11:31:00.000,202108,Birkenhead Central LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314534,2021-10-31 00:30:00.000,202108,Colchester LMD,Personal accident form,person exposed to a hazardous substance,Hazardous susbstance,0.001
SMIS4315369,2021-10-31 01:15:00.000,202108,Salisbury LMD,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4314238,2021-10-31 02:15:00.000,202108,Freightliner Birmingham,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314416,2021-10-31 12:30:00.000,202108,Heaton LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314354,2021-10-31 18:15:00.000,202108,Aylesbury LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314234,2021-11-01 03:15:00.000,202108,Orient Way,Personal accident form,person interaction,Interaction with train,0.001
SMIS4314461,2021-11-02 12:00:00.000,202108,Tees Yard,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314538,2021-11-03 12:20:00.000,202108,Inverness LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314755,2021-11-04 01:00:00.000,202108,Ipswich MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314652,2021-11-05 00:00:00.000,202108,Wimbledon LMD (London),Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4314825,2021-11-05 10:00:00.000,202108,Rugby Sidings,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4315794,2021-11-05 19:36:00.000,202108,Crofton,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4314760,2021-11-05 23:30:00.000,202108,Ramsgate Train Maintenance Depot,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314698,2021-11-07 00:00:00.000,202108,Salisbury LMD,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4315872,2021-11-07 00:00:00.000,202108,Woking Down Yard,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4314739,2021-11-08 08:30:00.000,202108,Bletchley James Way MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4314982,2021-11-08 21:15:00.000,202108,Corkerhill CSMD,Personal accident form,person interaction,Interaction with train,0.001
SMIS4314984,2021-11-08 23:00:00.000,202108,Haymarket LMD (Edinburgh),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314851,2021-11-09 10:15:00.000,202108,Newton Heath LMD (Manchester),Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314859,2021-11-10 03:38:00.000,202108,Plymouth (Laira) Diesel LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314899,2021-11-10 10:10:00.000,202108,Clapham Junction LMD (London),Personal accident form,assault and abuse,Assault or abuse,0.001
SMIS4314916,2021-11-10 14:00:00.000,202108,Canton Buildings MDU,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.001
SMIS4314963,2021-11-11 00:31:00.000,202108,Keith Portacabins MDU,Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4315789,2021-11-11 05:15:00.000,202108,Eastcroft LMD (Nottingham),Personal accident form,slip trip or fall,"Slip, trip, fall",0.01
SMIS4315063,2021-11-12 10:33:00.000,202108,Crewe Sorting Sidings North SB,Personal accident form,awkward body movement,Awkward body movement,0.001
SMIS4327337,2021-11-12 15:15:00.000,202108,Bedford Grain Warehouse MDU,Personal accident form,other event resulting in injury fatality,,0.001
SMIS4332870,2021-11-12 23:45:00.000,202108,Fratton Tcd (LMD),Personal accident form,slip trip or fall,"Slip, trip, fall",0.001
SMIS4315224,2021-11-14 00:30:00.000,202109,Slade Green LMD,Personal accident form,person interaction,"Interaction with plant, machine, equip or tool",0.01
