"smis_reference","event_date","period","place","report_title","personal_accident_type","description"
SMIS452880,2022-11-07 18:25:00.000,202208,Central Rivers Depot (Barton under Needwood),SPAD and operating incident form,,Wrong route – 5Z64 (17:42 DERBY-BARTONUNW) was wrong routed due to late notice strike workings at Derby.  Not taken.
SMIS4337226,2022-11-07 20:16:00.000,202208,Toton TMD,Personal accident form,"Slip, trip, fall",A member of staff tripped over an incorrectly positioned kick board which had been placed over a cab door entrance on a Class 66 loco.
SMIS447742,2022-11-08 11:00:00.000,202208,Margam Knuckle Wrd / Tmd,Public behaviour form,,"The member of staff advises, Stolen off road telehandler discovered on DBC WRD site. This has been stolen from the Tata site at Port Talbot."
SMIS4337231,2022-11-08 12:05:00.000,202208,Toton TMD,Personal accident form,"Interaction with plant, machine, equip or tool",Advised by the Toton Production Manger that member of staff has sustained a Personal Injury. The injured party was hitting a fix wheel with a copper hammer when the hammer slipped and he caught his fingers on the locating dowels for the fix wheel.
SMIS448289,2022-11-08 12:10:00.000,202208,Wembley Depot,Public behaviour form,,"14874/22 – Passenger overcarried to Wembley Depot"
SMIS351000,2022-11-08 12:20:00.000,202208,Doncaster Down Decoy,Train derailment,,Derailment - 6G01 10.20 Hunslet Yard-Doncaster West Yard became derailed  by one wheel on Road No. 2 at Doncaster West Yard during a shunt move within the yard
SMIS453607,2022-11-08 13:30:00.000,202208,Wimbledon LMD (London),SPAD and operating incident form,,"Irregular Working, 08/11/2022, It has been reported that a trainee shunter walked in front of the moving train within 10 meters at Wimbledon depot. The Driver of 5L04 did not stop or sound the horn and the member of staff did not acknowledge the 5L04 driver"
SMIS4337470,2022-11-08 14:00:00.000,202208,Bristol St Philips Marsh LMD,Personal accident form,"Slip, trip, fall",Colleague STF on vehicle crossing at St Philips Marsh Depot
SMIS473871,2022-11-08 14:36:00.000,202208,Blotoft Siding,Infrastructure failure and irregular signal aspect form,,Warning board - EROS board lights were out Up Spalding for ESR EM80A
SMIS447693,2022-11-08 16:06:00.000,202208,Canton Buildings MDU,Public behaviour form,,Overcarried on ECS (1V95 [10:41 Holyhead - Llanelli] )
SMIS452937,2022-11-08 18:37:00.000,202208,Canton Buildings MDU,SPAD and operating incident form,,Near miss and Unauthorised movement by RRV at Canton Depot
SMIS474372,2022-11-08 19:50:00.000,202208,Sevington Sidings,Infrastructure failure and irregular signal aspect form,,"Mechanism of handpoint 1 (North end, West road) sticking/obstructed when setting in reverse position. Close visual inspection performed with assistance of driver. Point confirmed fully over. Proceeded at reduced speed and reinspected afterwards. No change"
SMIS4337133,2022-11-08 22:00:00.000,202208,Crown Point LMD (Norwich),Personal accident form,"Slip, trip, fall",Sub Contractor STF in depot
SMIS473886,2022-11-09 00:01:00.000,202208,Botley Sidings,Infrastructure failure and irregular signal aspect form,,WSF - 7O44 21:07 Westbury Tarmac - Botley Foster Yeoman (FLHH) reported all aspects showed on E293 shunt signal at Botley Aggregate Sidings. Cause: Defective cable.
SMIS3721123,2022-11-09 00:47:00.000,202208,Inverness LMD,"Train striking or struck by animal, object or road vehicle",,"The DB Cargo SIC reports that the Scotland Hub Driver on 3S97 21:48 Inverness TMD - Inverness TMD reports that he struck a deer at the 44 3/4 mile post at Huntly whilst driving from 66187, no.1 cab"
SMIS4344820,2022-11-09 08:14:00.000,202208,Hornsey LMD,Personal accident form,Hazardous condition,Hornsey Depot - 09/11/2022 08:14
SMIS4337157,2022-11-09 09:48:00.000,202208,Crewe Gresty,Personal accident form,"Interaction with plant, machine, equip or tool",PA: Trackworker was struck by a gate that fell off its hinges when exiting Crewe TMD and injured shoulder
SMIS4337152,2022-11-09 10:25:00.000,202208,Woking ECR,Personal accident form,"Interaction with plant, machine, equip or tool","PA (Route Services - Contractor ITM Comms) - IP fitting data cables behind the toilet blocks at Woking stable yard depot, stood up and struck top of head on an open window frame. NLT.  IRIS 24309"
SMIS447741,2022-11-09 10:34:00.000,202208,Ilford LMD (London),Public behaviour form,,Passenger overcarried to Ilford Depot
SMIS453610,2022-11-09 11:00:00.000,202208,Tyseley LMD,SPAD and operating incident form,,"OPERATIONAL INCIDIENT: A CrossCountry Birmingham Driver Instructor witnessed on Road B of Tyseley Carriage sidings, a CrossCountry driver walking between two trains (Units 170638 and 170105)"
SMIS447737,2022-11-09 13:48:00.000,202208,Canton Buildings MDU,Public behaviour form,,PIPA at Canton Depot
SMIS452982,2022-11-09 15:00:00.000,202208,Cricklewood Sidings,SPAD and operating incident form,,Wrong Route - 5Y81 12:42 Bedford-Cricklewood Sidings wrong routed at WH228 signal at Cricklewood - Route not taken
SMIS453437,2022-11-09 19:04:00.000,202208,East Ham LMD (London),SPAD and operating incident form,,Cat A SPAD 09/11/2022 East Ham Depot: 5E15 passed depot stop board resulting in a Cat A Spad. The undertook an Unauthorised Wrong Direction Movement when brought to a stand on AWS magnet.
SMIS4337988,2022-11-09 20:00:00.000,202208,Maidenhead Depot,Personal accident form,,Coming into Contact with Something-On Train-Drivers Cab-Maidenhead Depot
SMIS481257,2022-11-10 02:30:00.000,202208,Freightliner Coatbridge,Control system form,,"4L81 incompatible dangerous goods B Hall"
SMIS4338500,2022-11-10 10:15:00.000,202208,Aylesbury LMD,Personal accident form,"Interaction with plant, machine, equip or tool","14996/22 – Depot cleaner injured her hand at Aylesbury Depot"
SMIS4337848,2022-11-10 16:30:00.000,202208,Brighton MDU,Personal accident form,"Interaction with plant, machine, equip or tool",Staff accident Brighton Engineering
SMIS351003,2022-11-10 19:55:00.000,202208,East Midlands Gateway,Train derailment,,East Midlands Hub Driver on LS2876 duty advises that 4L76 19:27 East Midlands Gateway - Felixstowe has become derailed after departing East Midlands Gateway terminal at the spring points for the arrival and departure roads.
SMIS3721110,2022-11-10 21:30:00.000,202208,Rosyth Dockyard,"Train striking or struck by animal, object or road vehicle",,TSBS - 2G48 (20:43 Glenrothes - Edinburgh) The train had struck a trampoline that had been placed on the line between Rosyth Station and Invekeithing Station
SMIS461037,2022-11-11 00:00:00.000,202208,Canton Buildings MDU,Train failure form,,"170201 20221111 WR149367 50 car AWS fault. AWS button not working"
SMIS461038,2022-11-11 00:00:00.000,202208,Machynlleth LMD,Train failure form,,"158836 20221111 WR149393 57 sander not discharging"
SMIS4337426,2022-11-11 00:00:00.000,202208,Newton Heath LMD (Manchester),Personal accident form,"Slip, trip, fall","Driver slipped on deport, injury sustained"
SMIS4337462,2022-11-11 01:09:00.000,202208,Barking,Personal accident form,Assault or abuse,"Advised by Essex Hub Driver covering BR0005 duty that he has been threatened in an attempted mugging whilst walking up Renwick Road, Barking towards Box Lane entrance to the railway from the direction of the A13. He was approached by a white male dressed in all in black who demanded that he gave him his wallet. He refused and shone his torch at the white male who then left."
SMIS453264,2022-11-11 10:49:00.000,202208,Tees Yard,SPAD and operating incident form,,"4S99 Teesport to Grangemouth 11/11/2022 has arrived at Mossend with 4 containers with open container lids."
SMIS4337379,2022-11-11 11:04:00.000,202208,Edinburgh MDU,Personal accident form,Interaction with an animal,PA Edinburgh DU: MOS was bitten by a dog at South Gyle depot.
SMIS453193,2022-11-11 12:11:00.000,202208,Wembley Yard,SPAD and operating incident form,,Wrong route - Wembley Mainline SSM advised ROG 5Q63 had been wrongly routed from the Down Slow - Wembley Yard vice DS - DWR. Driver had taken the route
SMIS351004,2022-11-11 16:45:00.000,202208,Dagenham Ford Yard,Train derailment,,Locomotive Derailment at Dagenham ARC
SMIS481268,2022-11-11 20:56:00.000,202208,Machynlleth LMD,Control system form,,"158840 20221111 WR149468 57 end ERTMS BTM subsystem failure"
SMIS4337708,2022-11-12 00:00:00.000,202208,Canton Buildings MDU,Personal accident form,"Slip, trip, fall",Minor Fleet Employee  missed a step and had a fall leading to small open wound on the side of the head
SMIS064253,2022-11-12 00:25:00.000,202208,Cricklewood Depot,Environmental contamination,,Environmental - Alstom/EMR had advised of a fuel spillage on the fuelling line at Cricklewood Depot.  CAT 4
SMIS4337452,2022-11-12 03:20:00.000,202208,Rotherham Steel Terminal,Personal accident form,Assault or abuse,Complaint received from a South Yorkshire mobile operative that they had been verbally refused by the GB Railfreight Supervisor dealing with 4L20 01:03 Rotherham Masborough -  Felixstowe.
SMIS461049,2022-11-12 05:34:00.000,202208,Canton Buildings MDU,Train failure form,,"175116 20221112 WR149491 50 and 56 car sanding failure"
SMIS461050,2022-11-12 06:50:00.000,202208,Canton Buildings MDU,Train failure form,,"150245 20221112 WR149498 57 horn high tone not working intermittently."
SMIS481277,2022-11-12 07:41:00.000,202208,Canton Buildings MDU,Control system form,,"170201 20221112 WR149501 50 car AWS fault."
SMIS447823,2022-11-12 08:40:00.000,202208,Knottingley MGR Repair Depot,Public behaviour form,,"Vandalism - Section supervisor at Knottingley depot, had advised that two lorries had their diesel tanks emptied overnight and had the caps ripped off so they cannot be used."
SMIS4337437,2022-11-12 08:50:00.000,202208,Newton Heath LMD (Manchester),Personal accident form,"Interaction with plant, machine, equip or tool",Depot driver sustained injury during refuelling
SMIS447829,2022-11-12 15:15:00.000,202208,Hull Yard,Public behaviour form,,"Trespass - Workforce advised whilst carrying out work on the Hull docks branch, he noticed 4 children, approx 10/11 years old gaining access underneath palisade fencing."
SMIS481269,2022-11-12 15:30:00.000,202208,Shrewsbury Abbey Foregate LMD,Control system form,,"158832 20221112 TRUST 050709 WR149606 ERTMS fault"
SMIS473999,2022-11-12 16:23:00.000,202208,Chaffers Siding LC,Infrastructure failure and irregular signal aspect form,,OCC - Gas main damaged within possession item 182 at Chaffers Level Crossing.
SMIS4337433,2022-11-12 20:20:00.000,202208,Middlesbrough MDU,Personal accident form,"Slip, trip, fall",Driver sustained injury on station
SMIS461063,2022-11-13 02:02:00.000,202209,Craigentinny LMD (Edinburgh),Train failure form,,SAFETY DEFECT: Advised by Great Western Maintenance Controller that XC01 on Craigentinny to work 5V56 [08:41 Craigentinny T.&R.S.M.D - Edinburgh] and 1V56 [09:08 Edinburgh - Plymouth] had been found to be missing a brake pad on wheel 8 of 42378
SMIS4337611,2022-11-13 10:30:00.000,202209,Canton Buildings MDU,Personal accident form,"Interaction with plant, machine, equip or tool",Minor Canton Depot Employee splintered a piece of steel and penetrated the rear of his hand holding the woo
SMIS4338004,2022-11-13 11:35:00.000,202209,Soho LMD (Birmingham),Personal accident form,Hazardous susbstance,"Hydrometer failure at Soho depot resulting in acid being sprayed into a technician’s face, causing minor burn under eye. Eye protection was being worn but the technician was advised to attend hospital."
SMIS453508,2022-11-13 13:05:00.000,202209,Eastcroft LMD (Nottingham),SPAD and operating incident form,,Passenger on ECS
SMIS453280,2022-11-13 19:35:00.000,202209,Letchworth (LMD),SPAD and operating incident form,,Wrong Route - 5R50 19.54 Letchworth-Letchworth wrong routed at K949 signal at Letchworth Sidings - Route not taken
SMIS447962,2022-11-13 22:36:00.000,202209,Exeter New Yard; Exeter St Davids,Public behaviour form,,Trespass Exeter New Yard - Exeter St Davids Station 22:36   The driver of 2E66 (2201 Okehampton - Exeter SDs) had reported 2 trespassers in the vicinity of Exeter New Yard (laundry Sidings) close to E56 signal on the downside (193m 43ch)
SMIS447970,2022-11-14 00:00:00.000,202209,Allerton LMD,Public behaviour form,,Passenger was locked on 2076 1015 Man Ox Rd - Liverpool l st at Allerton.
SMIS454167,2022-11-14 00:00:00.000,202209,Singlewell IMD,SPAD and operating incident form,,OCC/LSR breach - HS1 - BBRail yard area - SSOW not applied regarding lifting a 29m section of replacement points.
SMIS481282,2022-11-14 00:00:00.000,202209,Machynlleth LMD,Control system form,,"153913 20221114 WR149675 no vigilance sounding in no.2 cab"
SMIS34236,2022-11-14 00:58:00.000,202209,Millerhill,Train colliding with another train,,Report of slow speed collision between 380113 and 385008 at Millerhill Depot. Both Hitachi and shields fitters confirm that there is no damage to either unit.
SMIS461057,2022-11-14 10:37:00.000,202209,Machynlleth LMD,Train failure form,,"153333 20221114 WR149633 panel above C door loose"
SMIS4337525,2022-11-14 11:15:00.000,202209,Neville Hill LMD (Ns) Northern Rail,Personal accident form,"Interaction with plant, machine, equip or tool",Contractor injured while on duty
SMIS133954,2022-11-14 11:30:00.000,202209,Derby RTC EDU Depot,Life saving rule breach,,LSR - three members of Network Rail staff witness onboard IM coach 999550 (Track Recording Coach) without the correct depot protection in place at Derby RTC. IRIS 24378
SMIS461061,2022-11-14 11:37:00.000,202209,Sevington Sidings,Train failure form,,Network Rail Swindon advise that 6C03 09:33 Northolt - Severnside has activated Waltham WILD with a reading of 363kN axle 100 RHS.
SMIS461058,2022-11-14 12:43:00.000,202209,Canton Buildings MDU,Train failure form,,"67017 20221114 WR149642 high brake readings."
SMIS461059,2022-11-14 14:27:00.000,202209,Machynlleth LMD,Train failure form,,"158836 20221114 WR149655 57 end second man's wiper intermittent."
SMIS481283,2022-11-14 17:00:00.000,202209,Machynlleth LMD,Control system form,,"153533 20221114 WR149676 no vigilance sounding in no.1 cab"
SMIS351005,2022-11-14 17:06:00.000,202209,Cardiff Celsa,Train derailment,,Derailment - 6V75 - Cardiff Celsa
SMIS461115,2022-11-15 00:00:00.000,202209,Manchester Longsight MDU,Train failure form,,Unit Fault - Door(s)
SMIS481288,2022-11-15 06:50:00.000,202209,Machynlleth LMD,Control system form,,"158824 20221115 TRUST 055749 WR149781 ERTMS rollaway protection messages"
SMIS481289,2022-11-15 07:06:00.000,202209,Canton Buildings MDU,Control system form,,"150278 20221115 WR149720 52 car TPWS fault light flashing"
SMIS4337578,2022-11-15 09:36:00.000,202209,Eastleigh,Personal accident form,,Personal Injury - Eastleigh
SMIS461064,2022-11-15 15:26:00.000,202209,Canton Buildings MDU,Train failure form,"Slip, trip, fall","Minor Canton Depot Trainer had slipped while climbing the steps to board, 231009 20221115 WR149806 381009"
SMIS064258,2022-11-15 16:58:00.000,202209,Canton Buildings MDU,Environmental contamination,,"150217 20221115 WR149809 52 car legionella detected"
SMIS064259,2022-11-15 16:59:00.000,202209,Canton Buildings MDU,Environmental contamination,,"150278 20221115 WR149810 52 car legionella detected"
SMIS481291,2022-11-15 18:46:00.000,202209,Machynlleth LMD,Control system form,,"158838 20221115 WR149823 52 end ERTMS DMI froze on start up"
SMIS481292,2022-11-15 22:46:00.000,202209,Holyhead LMD,Control system form,,"158839 20221115 WR149830  52 end ERTMS BTM subsystem failure"
SMIS4338329,2022-11-16 01:30:00.000,202209,Bournemouth West LMD,Personal accident form,"Interaction with plant, machine, equip or tool","16/11/2022	01:30:00	202209	OTA Contact	A Fleet staff was stabbed by a needle discarded in a bin inside the toilet onboard"
SMIS461071,2022-11-16 06:54:00.000,202209,Shrewsbury Abbey Foregate LMD,Train failure form,,"158825 20221116 WR149848 52 end low tone horn not sounding correctly."
SMIS453832,2022-11-16 08:25:00.000,202209,Baltic Sidings (Winchester),SPAD and operating incident form,,Person on Board When Train Departed - 16/11/2022 - The Guard of 5B72 Winchester - Baltic Sliding overcarried a passenger on their train to Baltic Sliding. The passenger then was taken back from the sidings to Winchester on 5B63 20+45 (ECS) Baltic Sidings - Winchester station. The train was formed of 444 5car.
SMIS453518,2022-11-16 17:48:00.000,202209,Faversham Yd Dn Sd MDU,SPAD and operating incident form,,"1P50 fouling line taken short into depot"
SMIS481307,2022-11-16 17:56:00.000,202209,Machynlleth LMD,Control system form,,"158824 20221116 TRUST 060604 WR149973 ERTMS issue."
SMIS4337710,2022-11-16 19:22:00.000,202209,Canton Buildings MDU,Personal accident form,"Slip, trip, fall",Minor Canton Depot Employee stepped down off the step and rolled his Ankle
SMIS4344939,2022-11-16 20:30:00.000,202209,Brighton Ced Swimu MDU,Personal accident form,"Interaction with plant, machine, equip or tool",Brighton Engineering Depot - 16/11/2022 20:30
SMIS4344945,2022-11-16 23:12:00.000,202209,Cricklewood Sidings,Personal accident form,"Interaction with plant, machine, equip or tool",Cricklewood Sidings - 16/11/2022 23:12
SMIS4337725,2022-11-17 00:00:00.000,202209,Crown Point LMD (Norwich),Personal accident form,Awkward body movement,Yard Assistant strained wrist
SMIS461091,2022-11-17 00:00:00.000,202209,Machynlleth LMD,Train failure form,,"153362 20221117 WR149984 no.1 end cab door insecure."
SMIS461093,2022-11-17 00:00:00.000,202209,Canton Buildings MDU,Train failure form,,"150269 20221117 WR149987 driver's washer poor."
SMIS453872,2022-11-17 00:00:00.000,202209,Newton Heath LMD (Manchester),SPAD and operating incident form,,MDD Moved a class 156 unit without authority to do so.
SMIS351006,2022-11-17 00:47:00.000,202209,,Train derailment,,"Derailment/OCC - Irregular working occurred at Bletchley Carriage Sidings, resulting in a Road Rail Vehicle (RRV) becoming derailed. IRIS 24429"
SMIS4337895,2022-11-17 00:55:00.000,202209,Wigan Springs Branch TMD,Personal accident form,"Slip, trip, fall",STL sustained injury when chair collapsed
SMIS448084,2022-11-17 02:15:00.000,202209,Eastfield TMD (Glasgow),Public behaviour form,,Passenger on ECS
SMIS461089,2022-11-17 02:49:00.000,202209,Canton Buildings MDU,Train failure form,,"175108 20221117 WR149959 50 car sanders not operating"
SMIS453614,2022-11-17 04:29:00.000,202209,London Gateway Depot,SPAD and operating incident form,,Points run through – 4L47 – London Gateway
SMIS4337900,2022-11-17 05:58:00.000,202209,Neville Hill LMD (Ns) Northern Rail,Personal accident form,"Slip, trip, fall","Cleaner slipped on depot, injury sustained"
SMIS461095,2022-11-17 08:42:00.000,202209,Machynlleth LMD,Train failure form,,"153333 20221117 TRUST 062652 WR150000 no.1 end driver's wiper stopped working"
SMIS4337692,2022-11-17 09:17:00.000,202209,Bletchley James Way MDU,Personal accident form,"Slip, trip, fall","PA - Bletchley DU - Technician injured shoulder,knee and ribs due to slipping over some boarding at Bletchley. IRIS 24453"
SMIS4338732,2022-11-17 12:43:00.000,202209,Ilford LMD (London),Personal accident form,"Interaction with plant, machine, equip or tool",Contractor cut hand in depot
SMIS461096,2022-11-17 12:49:00.000,202209,Shrewsbury Abbey Foregate LMD,Train failure form,,"67017 20221117 WR150024 SMS cab door opening in service when locked"
SMIS453624,2022-11-17 16:20:00.000,202209,Immingham,SPAD and operating incident form,,Advised by control that wagon 7006980499 has suffered a loss of product at Immingham after being loaded for 6H77. WH Davis staff en route to attend to the wagon
SMIS064266,2022-11-17 16:22:00.000,202209,Machynlleth LMD,Environmental contamination,,"158836 20221117 WR150042 chlorination required (NOT legionella"
SMIS3721195,2022-11-17 21:20:00.000,202209,Birkenhead North LMD,"Train striking or struck by animal, object or road vehicle",,Train Collison with a tool trolley on 6 road at Birkenhead North Depot 17/11/22.
SMIS351008,2022-11-17 21:20:00.000,202209,Freightliner Crewe Basford Hall,Train derailment,,Points run through/Derailment: Loco ran through No.2 hand points at Basford Hall and derailed
SMIS453606,2022-11-17 21:47:00.000,202209,Dollands Moor,SPAD and operating incident form,,Advised by Network Rail Ashford HS1 Control that 6O20 2047 Ripple Lane Exchange Sidings to Dollands Moor has activated an HABD near Dollands Moor Axle 27 no other details and no sides given no other details.
SMIS453967,2022-11-18 09:50:00.000,202209,Wimbledon LMD (London),SPAD and operating incident form,,"Movement Without Authority, 18/11/2022, The panel operator reported units 5722 & 5866 had moved from 18ty to stop Board without permission from the Shunter.  The Shunter confirmed they they did not give permission to the Main Line driver to move at Wimbledon Park depot.  The train was formed of 455/8 car."
SMIS15176,2022-11-18 10:30:00.000,202209,Ilford LMD (London),Machine plant equipment or tool failure,,Scissor lift come off of traversing runner
SMIS461105,2022-11-18 11:19:00.000,202209,Machynlleth LMD,Train failure form,,"153303 20221118 TRUST 066535 WR150128 heater smoking"
SMIS453776,2022-11-18 14:55:00.000,202209,Cliffe Sidings,SPAD and operating incident form,,Loading irregularity reported by North Kent Mobile Operative. They report that 7U71 Cliffe - Stewarts Lane has been poorly loaded with product over the edges of the wagon. The set is not fit to travel and 7U71 has been cancelled
SMIS4337841,2022-11-18 15:00:00.000,202209,Freightliner Crewe Basford Hall,Personal accident form,Awkward body movement,Belated Personal Injury Reported. Wigan BD&R Supervisor reports that they felt twinge in their lower back and muscle pain below their right shoulder blade whilst leaving a derailment site at Crewe Basford Hall using a double p-way trolley to remove equipment to the access point.
SMIS461129,2022-11-18 15:37:00.000,202209,Sevington Sidings,Train failure form,,"Advised by train running control that 6X11 06:58 Toton - Dollands Moor has activated Sevington GOTCHA with a reading of 455kN, axle 8 RHS. Service will run forward to Dollands Moor at 20mph where the wagon will be detached. South Kent Hub driver working DO0063 duty. OTMR download required"
SMIS449104,2022-11-18 23:24:00.000,202209,Banbury Depot,Public behaviour form,,"15493/22 – Passenger overcarried on 5U88 to Banbury Depot"
SMIS461128,2022-11-18 23:30:00.000,202209,Scunthorpe Goods Yard,Train failure form,,"Network Rail LNE Control advise that 6N73 20:44 Scunthorpe Entrance 'C' - Lackenby has activated Sessay Gotcha. Axle 9, left hand side, 475 kN. BBA no. 910510. Train proceeding forward to Tees Yard at 20 mph. North East Hub Driver on TE0009 duty. Loco 60007."
SMIS4337810,2022-11-19 00:00:00.000,202209,East Ham LMD (London),Personal accident form,"Interaction with plant, machine, equip or tool",Staff Accident 19/11/2022 East Ham Depot - A Depot shunter experienced pain in their back after pulling a very stiff set of points.
SMIS4410499,2022-11-19 02:30:00.000,202209,Quakers Yard,Public behaviour form,,PIPA - A young teen wearing glasses and black clothes on the line at Quakers Yard
SMIS453958,2022-11-19 06:17:00.000,202209,Wimbledon LMD (London),SPAD and operating incident form,,"Failure to cancel AWS, 19/11/2022, The Driver of 5K03 missed their AWS warning on W1123 whilst they were leaving the depot.  The train was formed of 707018+Cab425018"
SMIS461106,2022-11-19 08:46:00.000,202209,Canton Buildings MDU,Train failure form,,"175109 20221119 WR150240 night headlight keeps going out"
SMIS461107,2022-11-19 10:12:00.000,202209,Machynlleth LMD,Train failure form,,"153303 20221119 WR150241 heater smoking"
SMIS453779,2022-11-19 10:15:00.000,202209,Barking Intermodal,SPAD and operating incident form,,Belated report of a an unloading incident at Barking Euro Terminal on the 19/11/22. The member of staff advises that he was unloading container TRFA12000094 Swapbody off the train that had arrived as he was driving the load inside the curtain wagon pushed outwards.
SMIS4337764,2022-11-19 10:19:00.000,202209,East Ham LMD (London),Personal accident form,"Interaction with plant, machine, equip or tool",Contractor Accident 19/11/2022 East Ham Depot - Contractor cut their left thumb  when cutting a zip tie on packaging.
SMIS4337924,2022-11-19 12:00:00.000,202209,Allerton LMD,Personal accident form,Awkward body movement,STM sustained injury on depot
SMIS461108,2022-11-19 14:10:00.000,202209,Canton Buildings MDU,Train failure form,,"769006 20221119 WR150246 77300 car day headlight not working."
SMIS4337843,2022-11-19 14:30:00.000,202209,Doncaster Belmont Yard,Personal accident form,Interaction with an animal,Personal Injury reported. A South Yorkshire driver has reported severing the tip of a finger in a cab door on loco 66014 whilst relieving 4D56 1132 Biggleswade - Heck. A colleague has taken him to Doncaster Royal Infirmary. FLOC advised for chain of care.
SMIS461109,2022-11-19 14:57:00.000,202209,Canton Buildings MDU,Train failure form,,"153362 20221119 TRUST 069581 WR150249 no.1 cab DSD pedal loose"
SMIS453986,2022-11-19 16:56:00.000,202209,Clapham Junction LMD (London),SPAD and operating incident form,,"Person on Board When Train Departed, 19/11/2022, The Driver of 5R58 16:34 Hounslow - Clapham Yard sidings found a passenger on board their train whilst they were completing a shunting move into the sif=dings at Clapham yard.  The singaller routed the train back into the platform 6 at Clapham Junction to allow the passenger to alight.  The train was formed of 455706+455735"
SMIS448192,2022-11-20 00:45:00.000,202209,Eastfield TMD (Glasgow),Public behaviour form,,Eastfield Depot called to advise a passenger had been carried into the depot on 5T56 0025 Queen Street/Eastfield Depot.
SMIS1713997,2022-11-20 15:05:00.000,202209,Leicester Tcd,"Non-rail vehicle colliding with animal, object or another road vehicle",,"Three Millerhill Breakdown and recovery operatives report that whilst travelling from Millerhill to Didcot for a training course on Monday, a Nissan Juke BD12 OAZ has collided with their company vehicle on the M1 near Leicester."
SMIS453711,2022-11-20 17:57:00.000,202209,Acton Yard,SPAD and operating incident form,,OCC - isolation staff working for U.K. Rail / Keltbray were walking on open lines within Acton Yard - IRIS 33842
SMIS461125,2022-11-21 00:00:00.000,202209,Manchester Longsight MDU,Train failure form,,Unit Fault - Other
SMIS4338053,2022-11-21 04:30:00.000,202209,Colchester LMD,Personal accident form,Awkward body movement,Driver strained knee whilst in depot
SMIS453968,2022-11-21 09:10:00.000,202209,Wimbledon LMD (London),SPAD and operating incident form,,"Movement Without Authority, 21/11/2022, GBF driver moved their unit 701017 from top yard without authorisation from the shunter.  Once the incident wwas reported, witness statement was collected , Driver stood down and for cause tested."
SMIS453778,2022-11-21 09:40:00.000,202209,Hither Green,SPAD and operating incident form,,Advised by the GS at Hither Green that he was cycling the doors on HOA 320003 (Hopper 1) and residual product has fallen from the wagon and he is now unable to close the hopper door on the wagon. The GS advises that he is line manager is on the way with shovels and brushes to clean the product away.
SMIS4339793,2022-11-21 11:00:00.000,202209,Aylesbury LMD,Personal accident form,"Interaction with plant, machine, equip or tool","15597/22 – Fitter hurt his back when tool failed at Aylesbury Depot"
SMIS461118,2022-11-21 11:23:00.000,202209,Canton Buildings MDU,Train failure form,,"175011 20221121 WR150437 sanding failure."
SMIS461119,2022-11-21 12:12:00.000,202209,Holyhead LMD,Train failure form,,"67012 20221121 221121-104 TRUST 075395 WR150449 no.1 cab driver's wiper intermittently sticks halfway."
SMIS453987,2022-11-21 12:20:00.000,202209,Bournemouth West LMD,SPAD and operating incident form,,"Person on Board When Train Departed, 21/11/2022, A passenger was overcarried on Train ID 5008 from Bournemouth station to Bournemouth Sidings"
SMIS448212,2022-11-21 16:03:00.000,202209,Northampton Castle Yard,Public behaviour form,,Trespass - Male crossed the tracks at Northampton Castle Yard after checks nobody seen normal working resumed
SMIS481351,2022-11-21 20:16:00.000,202209,Machynlleth LMD,Control system form,,"158826 20221121 WR150536 52 end ERTMS would ont boot up"
SMIS4345035,2022-11-21 21:44:00.000,202209,Cambridge Adj Mill Rd MDU,Personal accident form,"Interaction with plant, machine, equip or tool",Cambridge - 21/11/2022 21:44
SMIS453838,2022-11-21 23:30:00.000,202209,Wensum Curve Depot,SPAD and operating incident form,,Unauthorised train movement within the depot
SMIS453818,2022-11-21 23:45:00.000,202209,Crown Point LMD (Norwich),SPAD and operating incident form,,"745009 rolled away from 37601 after splitting at Norwich Crown Point"
SMIS064496,2022-11-22 02:00:00.000,202209,,Environmental contamination,,"Flytipping - Fridges and Freezers, General Household waste Persistent Throughout, approx. 200m at Holbeck Depot - IRIS-27113 - CAT 4"
SMIS448272,2022-11-22 03:24:00.000,202209,Gloucester Yard Jcn,Public behaviour form,,Trespass - Gloucester Police reported a person on the parapet of the railway bridge at Metz Way in Gloucester.
SMIS4338635,2022-11-22 03:34:00.000,202209,Bletchley LMD,Personal accident form,"Interaction with plant, machine, equip or tool",Contractor Cleaner cut hand on glass when taking rubbish out of on train bin. Accident form not received until 26.11.22
SMIS453798,2022-11-22 07:07:00.000,202209,Mossend Yard,SPAD and operating incident form,,CAT A SPAD - 4S04 (2315 Doncaster Iport – Mossend) passed GMY304 signal on the Down Arrival line at Mossend at red by half a wagon length while undertaking a propelling movement.
SMIS461142,2022-11-22 07:15:00.000,202209,Canton Buildings MDU,Train failure form,,"150255 20221122 TRUST 078753 WR150534 57 end WSP lit, latched on"
SMIS461144,2022-11-22 08:23:00.000,202209,Machynlleth LMD,Train failure form,,"158825 20221122 WR150541 57 cab door catch not securing door"
SMIS461146,2022-11-22 09:43:00.000,202209,Carmarthen MDU,Train failure form,,"175002 20221122 WR150558 79 car driver's windscreen has black smears"
SMIS34237,2022-11-22 10:19:00.000,202209,Crewe Gresty,Train colliding with another train,,Minor collision whilst shunting at Basford Hall
SMIS3721493,2022-11-22 11:00:00.000,202209,Ilford LMD (London),"Train striking or struck by animal, object or road vehicle",,Unit struck by scaffolding
